Name: “Table 1 of 1 on page 155 of 179”,Name: “Table 1 of 1 on page 155 of 179”,Name: “Table 1 of 1 on page 155 of 179”,Name: “Table 1 of 1 on page 155 of 179”,Name: “Table 1 of 1 on page 155 of 179”,Name: “Table 1 of 1 on page 155 of 179”,Name: “Table 1 of 1 on page 155 of 179”,Name: “Table 1 of 1 on page 155 of 179”,Name: “Table 1 of 1 on page 155 of 179”,Name: “Table 1 of 1 on page 155 of 179”,Name: “Table 1 of 1 on page 155 of 179”,Name: “Table 1 of 1 on page 155 of 179”,Name: “Table 1 of 1 on page 155 of 179”
Table: 152,Table: 152,Table: 152,Table: 152,Table: 152,Table: 152,Table: 152,Table: 152,Table: 152,Table: 152,Table: 152,Table: 152,Table: 152
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Anderson,7,0,0,2.3,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Blount,26,0,0,8.7,F,0,0,0,0.0,A,10.5,PASS
Claiborne,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Davidson,11,0,0,3.7,F,0,0,0,0.0,A,10.9,PASS
DeKalb,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Dyer,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,9.4,PASS
Hamilton,17,0,0,5.7,F,0,1,0,0.5,B,11.2,PASS
Jefferson,14,2,0,5.7,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Knox,10,1,1,4.5,F,3,0,0,1.0,C,12.2,FAIL
Lawrence,INC,INC,INC,INC,INC,0,0,0,0.0,A,8.7,PASS
Loudon,9,1,0,3.5,F,0,0,0,0.0,A,11.3,PASS
McMinn,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,10.5,PASS
Madison,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,9.4,PASS
Maury,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,9.1,PASS
Meigs,6,0,0,2.0,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Montgomery,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,10.3,PASS
Putnam,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,9.5,PASS
Roane,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,10.8,PASS
Rutherford,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Sevier,26,0,0,8.7,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Shelby,36,0,1,12.7,F,1,0,0,0.3,B,10.3,PASS
Sullivan,8,1,0,3.2,D,1,0,0,0.3,B,10.4,PASS
Sumner,36,1,0,12.5,F,0,0,0,0.0,A,10.2,PASS
Williamson,6,0,0,2.0,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Wilson,8,1,0,3.2,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC
TENNESSEE,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,153
