Name: “Table 1 of 1 on page 123 of 179”,Name: “Table 1 of 1 on page 123 of 179”,Name: “Table 1 of 1 on page 123 of 179”,Name: “Table 1 of 1 on page 123 of 179”,Name: “Table 1 of 1 on page 123 of 179”,Name: “Table 1 of 1 on page 123 of 179”,Name: “Table 1 of 1 on page 123 of 179”,Name: “Table 1 of 1 on page 123 of 179”,Name: “Table 1 of 1 on page 123 of 179”,Name: “Table 1 of 1 on page 123 of 179”,Name: “Table 1 of 1 on page 123 of 179”,Name: “Table 1 of 1 on page 123 of 179”,Name: “Table 1 of 1 on page 123 of 179”
Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Atlantic,12,0,0,4.0,F,0,0,0,0.0,A,8.9,PASS
Bergen,17,0,0,5.7,F,1,0,0,0.3,B,9.2,PASS
Camden,40,4,0,15.3,F,0,0,0,0.0,A,9.5,PASS
Cumberland,17,0,0,5.7,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Essex,24,0,0,8.0,F,0,0,0,0.0,A,9.5,PASS
Gloucester,39,2,0,14.0,F,0,0,0,0.0,A,9.3,PASS
Hudson,13,1,0,4.8,F,3,0,0,1.0,C,11.1,PASS
Hunterdon,21,0,0,7.0,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Mercer,35,0,0,11.7,F,1,0,0,0.3,B,9.5,PASS
Middlesex,37,0,0,12.3,F,0,0,0,0.0,A,8.0,PASS
Monmouth,23,1,0,8.2,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Morris,15,0,0,5.0,F,1,0,0,0.3,B,8.4,PASS
Ocean,34,1,0,11.8,F,0,0,0,0.0,A,8.5,PASS
PASSaic,8,0,0,2.7,D,1,0,0,0.3,B,9.3,PASS
Union,DNC,DNC,DNC,DNC,DNC,4,0,0,1.3,C,11.2,PASS
Warren,INC,INC,INC,INC,INC,2,0,0,0.7,B,9.4,PASS
NEW JERSEY,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,121
