Name: “Table 1 of 1 on page 169 of 179”,Name: “Table 1 of 1 on page 169 of 179”,Name: “Table 1 of 1 on page 169 of 179”,Name: “Table 1 of 1 on page 169 of 179”,Name: “Table 1 of 1 on page 169 of 179”,Name: “Table 1 of 1 on page 169 of 179”,Name: “Table 1 of 1 on page 169 of 179”,Name: “Table 1 of 1 on page 169 of 179”,Name: “Table 1 of 1 on page 169 of 179”,Name: “Table 1 of 1 on page 169 of 179”,Name: “Table 1 of 1 on page 169 of 179”,Name: “Table 1 of 1 on page 169 of 179”,Name: “Table 1 of 1 on page 169 of 179”
Table: 166,Table: 166,Table: 166,Table: 166,Table: 166,Table: 166,Table: 166,Table: 166,Table: 166,Table: 166,Table: 166,Table: 166,Table: 166
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Chelan,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC
Clallam,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Clark,0,0,0,0.0,A,7,0,0,2.3,D,7.0,PASS
King,3,0,0,1.0,C,1,0,0,0.3,B,5.9,PASS
Kitsap,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC
Okanogan,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC
Pierce,0,0,0,0.0,A,11,1,0,4.2,F,7.5,PASS
Skagit,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Snohomish,DNC,DNC,DNC,DNC,DNC,9,1,0,3.5,F,7.3,PASS
Spokane,0,0,0,0.0,A,2,0,0,0.7,B,7.4,PASS
Thurston,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Whatcom,0,0,0,0.0,A,INC,INC,INC,INC,INC,INC,INC
Yakima,DNC,DNC,DNC,DNC,DNC,8,3,0,4.2,F,8.7,PASS
WASHINGTON,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,167
