Name: “Table 1 of 1 on page 119 of 179”,Name: “Table 1 of 1 on page 119 of 179”,Name: “Table 1 of 1 on page 119 of 179”,Name: “Table 1 of 1 on page 119 of 179”,Name: “Table 1 of 1 on page 119 of 179”,Name: “Table 1 of 1 on page 119 of 179”,Name: “Table 1 of 1 on page 119 of 179”,Name: “Table 1 of 1 on page 119 of 179”,Name: “Table 1 of 1 on page 119 of 179”,Name: “Table 1 of 1 on page 119 of 179”,Name: “Table 1 of 1 on page 119 of 179”,Name: “Table 1 of 1 on page 119 of 179”,Name: “Table 1 of 1 on page 119 of 179”
Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Churchill,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Clark,59,0,0,19.7,F,2,1,0,1.2,C,7.9,PASS
Lyon,3,0,0,1.0,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Washoe,5,0,0,1.7,C,1,0,0,0.3,B,6.2,PASS
White Pine,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Carson City,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
NEVADA,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,117
