Name: “Table 1 of 1 on page 51 of 179”,Name: “Table 1 of 1 on page 51 of 179”,Name: “Table 1 of 1 on page 51 of 179”,Name: “Table 1 of 1 on page 51 of 179”,Name: “Table 1 of 1 on page 51 of 179”,Name: “Table 1 of 1 on page 51 of 179”,Name: “Table 1 of 1 on page 51 of 179”,Name: “Table 1 of 1 on page 51 of 179”,Name: “Table 1 of 1 on page 51 of 179”,Name: “Table 1 of 1 on page 51 of 179”,Name: “Table 1 of 1 on page 51 of 179”,Name: “Table 1 of 1 on page 51 of 179”,Name: “Table 1 of 1 on page 51 of 179”
Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,Annual
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Baldwin,4,0,0,1.3,C,0,0,0,0.0,A,9.8,PASS
Clay,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,10.0,PASS
Colbert,2,0,0,0.7,B,0,0,0,0.0,A,9.9,PASS
DeKalb,INC,INC,INC,INC,INC,0,0,0,0.0,A,10.6,PASS
Elmore,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Etowah,0,0,0,0.0,A,1,0,0,0.3,B,10.9,PASS
Houston,0,0,0,0.0,A,2,0,0,0.7,B,9.8,PASS
Jefferson,39,2,0,14.0,F,2,0,0,0.7,B,13.0,FAIL
Madison,7,0,0,2.3,D,0,0,0,0.0,A,10.7,PASS
Mobile,7,0,0,2.3,D,0,0,0,0.0,A,9.5,PASS
Montgomery,2,0,0,0.7,B,0,0,0,0.0,A,11.1,PASS
Morgan,3,0,0,1.0,C,0,0,0,0.0,A,10.2,PASS
Russell,1,0,0,0.3,B,0,0,0,0.0,A,12.2,FAIL
Shelby,10,0,0,3.3,F,0,0,0,0.0,A,INC,INC
Sumter,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Talladega,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,11.5,PASS
Tuscaloosa,0,0,0,0.0,A,1,0,0,0.3,B,10.4,PASS
Walker,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC
ALABAMA,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,49
