Name: “Table 1 of 1 on page 55 of 179”,Name: “Table 1 of 1 on page 55 of 179”,Name: “Table 1 of 1 on page 55 of 179”,Name: “Table 1 of 1 on page 55 of 179”,Name: “Table 1 of 1 on page 55 of 179”,Name: “Table 1 of 1 on page 55 of 179”,Name: “Table 1 of 1 on page 55 of 179”,Name: “Table 1 of 1 on page 55 of 179”,Name: “Table 1 of 1 on page 55 of 179”,Name: “Table 1 of 1 on page 55 of 179”,Name: “Table 1 of 1 on page 55 of 179”,Name: “Table 1 of 1 on page 55 of 179”,Name: “Table 1 of 1 on page 55 of 179”
Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Apache,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,INC,INC
Cochise,2,0,0,0.7,B,0,0,0,0.0,A,6.7,PASS
Coconino,6,0,0,2.0,C,0,0,0,0.0,A,5.2,PASS
Gila,12,0,0,4.0,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
La Paz,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Maricopa,56,0,0,18.7,F,10,6,0,6.3,F,10.3,PASS
Mohave,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC
Navajo,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Pima,3,0,0,1.0,C,0,0,0,0.0,A,5.6,PASS
Pinal,19,0,0,6.3,F,3,2,0,2.0,C,13.5,FAIL
Santa Cruz,DNC,DNC,DNC,DNC,DNC,1,0,0,0.3,B,9.8,PASS
Yavapai,2,0,0,0.7,B,0,0,0,0.0,A,4.0,PASS
Yuma,16,0,0,5.3,F,0,0,0,0.0,A,7.8,PASS
ARIZONA,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,53
