Name: “Table 1 of 1 on page 143 of 179”,Name: “Table 1 of 1 on page 143 of 179”,Name: “Table 1 of 1 on page 143 of 179”,Name: “Table 1 of 1 on page 143 of 179”,Name: “Table 1 of 1 on page 143 of 179”,Name: “Table 1 of 1 on page 143 of 179”,Name: “Table 1 of 1 on page 143 of 179”,Name: “Table 1 of 1 on page 143 of 179”,Name: “Table 1 of 1 on page 143 of 179”,Name: “Table 1 of 1 on page 143 of 179”,Name: “Table 1 of 1 on page 143 of 179”,Name: “Table 1 of 1 on page 143 of 179”,Name: “Table 1 of 1 on page 143 of 179”
Table: 140,Table: 140,Table: 140,Table: 140,Table: 140,Table: 140,Table: 140,Table: 140,Table: 140,Table: 140,Table: 140,Table: 140,Table: 140
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Clackamas,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Columbia,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Crook,DNC,DNC,DNC,DNC,DNC,4,0,0,1.3,C,8.7,PASS
Deschutes,0,0,0,0.0,A,INC,INC,INC,INC,INC,INC,INC
Harney,DNC,DNC,DNC,DNC,DNC,4,0,0,1.3,C,8.8,PASS
Jackson,0,0,0,0.0,A,1,0,0,0.3,B,8.5,PASS
Josephine,DNC,DNC,DNC,DNC,DNC,1,0,0,0.3,B,7.0,PASS
Klamath,DNC,DNC,DNC,DNC,DNC,8,0,0,2.7,D,10.5,PASS
Lake,DNC,DNC,DNC,DNC,DNC,8,1,0,3.2,D,8.8,PASS
Lane,0,0,0,0.0,A,10,0,0,3.3,F,8.8,PASS
Linn,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,INC,INC
Marion,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Multnomah,1,0,0,0.3,B,3,0,0,1.0,C,7.3,PASS
Umatilla,0,0,0,0.0,A,0,0,0,0.0,A,7.2,PASS
Union,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC
Washington,0,0,0,0.0,A,5,0,0,1.7,C,7.3,PASS
OREGON,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,141
