Name: “Table 1 of 1 on page 15 of 179”,Name: “Table 1 of 1 on page 15 of 179”,Name: “Table 1 of 1 on page 15 of 179”,Name: “Table 1 of 1 on page 15 of 179”,Name: “Table 1 of 1 on page 15 of 179”,Name: “Table 1 of 1 on page 15 of 179”,Name: “Table 1 of 1 on page 15 of 179”,Name: “Table 1 of 1 on page 15 of 179”,Name: “Table 1 of 1 on page 15 of 179”,Name: “Table 1 of 1 on page 15 of 179”,Name: “Table 1 of 1 on page 15 of 179”
Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12
,,,,,,,,,,
People at Risk In 25 U.S. Cities Most Polluted by Short-term Particle Pollution (24-hour PM2.5),People at Risk In 25 U.S. Cities Most Polluted by Short-term Particle Pollution (24-hour PM2.5),People at Risk In 25 U.S. Cities Most Polluted by Short-term Particle Pollution (24-hour PM2.5),People at Risk In 25 U.S. Cities Most Polluted by Short-term Particle Pollution (24-hour PM2.5),People at Risk In 25 U.S. Cities Most Polluted by Short-term Particle Pollution (24-hour PM2.5),People at Risk In 25 U.S. Cities Most Polluted by Short-term Particle Pollution (24-hour PM2.5),People at Risk In 25 U.S. Cities Most Polluted by Short-term Particle Pollution (24-hour PM2.5),People at Risk In 25 U.S. Cities Most Polluted by Short-term Particle Pollution (24-hour PM2.5),,,
2014,,Total,,65 and,Pediatric,Adult,,CV,,
Rank1,Metropolitan Statistical Areas,Population2,Under 18 3,Over3,"Asthma .4,6","Asthma5,6",COPD7,Disease 8,Diabetes 9,Poverty 10
1,"Fresno-Madera, CA","1,100,113","321,057","118,768","28,163","68,342","35,124","49,661","73,409","296,919"
2,"Visalia-Porterville-Hanford, CA","603,341","187,060","57,426","16,409","36,397","18,204","25,234","37,915","161,299"
3,"Bakersfield, CA","856,158","255,815","80,525","22,440","52,552","26,262","36,291","54,932","195,433"
4,"Los Angeles-Long Beach, CA","18,238,998","4,510,957","2,112,146","395,699","1,207,447","626,541","889,485","1,317,256","3,180,714"
5,"Modesto-Merced, CA","784,031","226,011","85,097","19,826","49,029","25,321","35,859","53,125","165,981"
