Name: “Table 1 of 1 on page 150 of 179”,Name: “Table 1 of 1 on page 150 of 179”,Name: “Table 1 of 1 on page 150 of 179”,Name: “Table 1 of 1 on page 150 of 179”,Name: “Table 1 of 1 on page 150 of 179”,Name: “Table 1 of 1 on page 150 of 179”,Name: “Table 1 of 1 on page 150 of 179”,Name: “Table 1 of 1 on page 150 of 179”,Name: “Table 1 of 1 on page 150 of 179”,Name: “Table 1 of 1 on page 150 of 179”,Name: “Table 1 of 1 on page 150 of 179”
Table: 147,Table: 147,Table: 147,Table: 147,Table: 147,Table: 147,Table: 147,Table: 147,Table: 147,Table: 147,Table: 147
,,,,,,,,,,
,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,148
SOUTH CAROLINA,SOUTH CAROLINA,,,,,,,,,
American Lung Association in South Carolina,American Lung Association in South Carolina,,,,,,,,,
44-A Markfield Drive,,,,,AT-RISK GROUPS,AT-RISK GROUPS,AT-RISK GROUPS,,,
"Charleston, SC 29407",,,,,,,,,,
(843) 556-8451,,,,,Lung Diseases,Lung Diseases,Lung Diseases,,,
www.lung.org/southcarolina,,,,,,,,,,
,,,,,,,,Cardio-,,
,,Total,,65 &,Pediatric,Adult,,vascular,,
,County,Population,Under 18,Over,Asthma,Asthma,COPD,Disease,Diabetes,Poverty
,Abbeville,"25,101","5,571","4,505",490,"1,690","1,556","2,221","2,468","4,911"
,Aiken,"162,812","36,044","26,854","3,169","10,992","9,873","13,782","15,472","27,465"
,Anderson,"189,355","44,533","30,560","3,916","12,555","11,242","15,671","17,600","33,021"
,Berkeley,"189,781","46,654","21,304","4,102","12,477","10,217","13,034","15,264","25,549"
,Charleston,"365,162","74,959","49,862","6,591","25,192","21,010","27,650","31,847","63,775"
,Cherokee,"55,662","13,521","8,073","1,189","3,661","3,200","4,353","4,946","12,331"
,Chesterfield,"46,103","10,827","6,866",952,"3,070","2,729","3,737","4,239","11,355"
,Colleton,"38,153","8,962","6,574",788,"2,531","2,331","3,310","3,689","8,283"
,Darlington,"68,139","16,057","10,609","1,412","4,526","4,060","5,621","6,341","16,894"
,Edgefield,"26,347","5,270","3,812",463,"1,838","1,613","2,172","2,485","4,932"
,Florence,"137,948","33,547","19,370","2,950","9,075","7,865","10,608","12,102","26,967"
,Greenville,"467,605","111,772","63,073","9,827","30,930","26,335","35,059","40,219","74,268"
,Lexington,"270,406","64,708","35,746","5,689","17,924","15,418","20,505","23,573","39,034"
,Oconee,"74,627","15,408","15,242","1,355","5,104","4,816","7,072","7,748","12,955"
,Pickens,"119,670","23,829","17,132","2,095","8,297","6,886","9,119","10,454","21,012"
,Richland,"393,830","88,616","41,213","7,791","26,585","20,980","26,004","30,829","61,197"
,Spartanburg,"288,745","69,432","41,273","6,105","19,054","16,537","22,375","25,483","54,389"
,York,"234,635","58,784","28,685","5,169","15,342","13,023","17,062","19,760","30,075"
,Totals,"3,154,081","728,494","430,753","64,052","210,844","179,691","239,354","274,521","528,413"
