Name: “Table 1 of 1 on page 161 of 179”,Name: “Table 1 of 1 on page 161 of 179”,Name: “Table 1 of 1 on page 161 of 179”,Name: “Table 1 of 1 on page 161 of 179”,Name: “Table 1 of 1 on page 161 of 179”,Name: “Table 1 of 1 on page 161 of 179”,Name: “Table 1 of 1 on page 161 of 179”,Name: “Table 1 of 1 on page 161 of 179”,Name: “Table 1 of 1 on page 161 of 179”,Name: “Table 1 of 1 on page 161 of 179”,Name: “Table 1 of 1 on page 161 of 179”,Name: “Table 1 of 1 on page 161 of 179”,Name: “Table 1 of 1 on page 161 of 179”
Table: 158,Table: 158,Table: 158,Table: 158,Table: 158,Table: 158,Table: 158,Table: 158,Table: 158,Table: 158,Table: 158,Table: 158,Table: 158
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Box Elder,4,0,0,1.3,C,5,2,0,2.7,D,7.7,PASS
Cache,0,0,0,0.0,A,14,8,0,8.7,F,8.7,PASS
Carbon,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Davis,4,0,0,1.3,C,5,2,0,2.7,D,8.3,PASS
Duchesne,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC
Garfield,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Salt Lake,21,0,0,7.0,F,26,9,0,13.2,F,9.2,PASS
San Juan,3,0,0,1.0,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Tooele,4,0,0,1.3,C,1,1,0,0.8,B,6.3,PASS
Uintah,37,20,9,28.3,F,INC,INC,INC,INC,INC,INC,INC
Utah,6,0,0,2.0,C,13,2,0,5.3,F,8.3,PASS
Washington,3,0,0,1.0,C,0,0,0,0.0,A,5.1,PASS
Weber,8,0,0,2.7,D,20,4,0,8.7,F,9.1,PASS
UTAH,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,159
