Name: “Table 1 of 1 on page 73 of 179”,Name: “Table 1 of 1 on page 73 of 179”,Name: “Table 1 of 1 on page 73 of 179”,Name: “Table 1 of 1 on page 73 of 179”,Name: “Table 1 of 1 on page 73 of 179”,Name: “Table 1 of 1 on page 73 of 179”,Name: “Table 1 of 1 on page 73 of 179”,Name: “Table 1 of 1 on page 73 of 179”,Name: “Table 1 of 1 on page 73 of 179”,Name: “Table 1 of 1 on page 73 of 179”,Name: “Table 1 of 1 on page 73 of 179”,Name: “Table 1 of 1 on page 73 of 179”,Name: “Table 1 of 1 on page 73 of 179”,Name: “Table 1 of 1 on page 73 of 179”
Table: 70,Table: 70,Table: 70,Table: 70,Table: 70,Table: 70,Table: 70,Table: 70,Table: 70,Table: 70,Table: 70,Table: 70,Table: 70,Table: 70
,,,,,,,,,,,,,
(continued),,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,,Wgt.,,,,,Wgt.,,Design,Pass/
,County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
,Palm Beach,2,0,0,0.7,B,2,1,0,1.2,C,7.1,PASS
,Pasco,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Pinellas,1,0,0,0.3,B,0,0,0,0.0,A,7.5,PASS
,Polk,5,0,0,1.7,C,0,0,0,0.0,A,7.4,PASS
,St. Lucie,0,0,0,0.0,A,INC,INC,INC,INC,INC,INC,INC
,Santa Rosa,7,0,0,2.3,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Sarasota,5,0,0,1.7,C,0,0,0,0.0,A,7.0,PASS
,Seminole,2,0,0,0.7,B,0,0,0,0.0,A,7.4,PASS
,Volusia,0,0,0,0.0,A,1,0,0,0.3,B,7.2,PASS
,Wakulla,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
FLORIDA,,,,,,,,,,,,,
,,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,71
