Name: “Table 1 of 1 on page 96 of 179”,Name: “Table 1 of 1 on page 96 of 179”,Name: “Table 1 of 1 on page 96 of 179”,Name: “Table 1 of 1 on page 96 of 179”,Name: “Table 1 of 1 on page 96 of 179”,Name: “Table 1 of 1 on page 96 of 179”,Name: “Table 1 of 1 on page 96 of 179”,Name: “Table 1 of 1 on page 96 of 179”,Name: “Table 1 of 1 on page 96 of 179”,Name: “Table 1 of 1 on page 96 of 179”,Name: “Table 1 of 1 on page 96 of 179”
Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93
,,,,,,,,,,
,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,94
LOUISIANA,LOUISIANA,,,,,,,,,
American Lung Association in Louisiana,American Lung Association in Louisiana,,,,,,,,,
"2325 Severn Avenue, Suite 8",,,,,AT-RISK GROUPS,AT-RISK GROUPS,AT-RISK GROUPS,,,
"Metairie, LA 70001-6918",,,,,,,,,,
(504) 828-5864,,,,,Lung Diseases,Lung Diseases,Lung Diseases,,,
www.lung.org/louisiana,,,,,,,,,,
,,,,,,,,Cardio-,,
,,Total,,65 &,Pediatric,Adult,,vascular,,
,Parish,Population,Under 18,Over,Asthma,Asthma,COPD,Disease,Diabetes,Poverty
,Ascension Parish,"112,286","31,543","10,714","2,626","6,023","5,791","7,624","9,325","13,439"
,Bossier Parish,"122,197","30,885","14,990","2,571","6,757","6,646","9,047","10,780","15,905"
,Caddo Parish,"257,093","63,093","35,752","5,253","14,388","14,766","20,599","24,279","51,271"
,Calcasieu Parish,"194,493","48,561","25,742","4,043","10,838","11,036","15,274","18,102","33,065"
,East Baton Rouge,,,,,,,,,
,Parish,"444,526","102,025","51,450","8,494","25,343","24,317","32,531","39,124","88,887"
,Iberville Parish,"33,228","7,294","4,332",607,"1,932","1,957","2,684","3,205","6,261"
,Jefferson Parish,"433,676","96,226","62,291","8,012","25,087","25,985","36,309","42,853","69,872"
,Lafayette Parish,"227,055","54,900","24,388","4,571","12,783","12,254","16,259","19,711","38,846"
,Lafourche Parish,"97,029","23,263","12,782","1,937","5,482","5,567","7,682","9,125","14,248"
,Livingston Parish,"131,942","35,488","14,372","2,955","7,171","7,000","9,386","11,328","19,857"
,Orleans Parish,"369,250","79,199","42,272","6,594","21,534","20,778","27,712","33,496","102,770"
,Ouachita Parish,"155,363","40,471","19,809","3,370","8,507","8,505","11,697","13,870","35,398"
,Pointe Coupee Parish,"22,726","5,396","3,902",449,"1,290","1,431","2,082","2,408","4,698"
,Rapides Parish,"132,373","33,910","18,848","2,823","7,308","7,607","10,697","12,563","28,235"
,St. Bernard Parish,"41,635","10,964","3,788",913,"2,285","2,150","2,792","3,437","9,164"
,St. Charles Parish,"52,681","13,717","5,642","1,142","2,924","2,937","3,946","4,800","6,667"
,St. James Parish,"21,722","5,394","3,062",449,"1,219","1,286","1,806","2,133","3,736"
,St. John the Baptist,,,,,,,,,
,Parish,"44,758","11,586","5,119",965,"2,479","2,492","3,376","4,071","8,656"
,St. Tammany Parish,"239,453","59,933","33,060","4,990","13,420","14,170","19,846","23,506","31,239"
,Tangipahoa Parish,"123,441","30,804","14,999","2,565","6,871","6,795","9,240","11,042","29,193"
,Terrebonne Parish,"111,893","28,654","13,444","2,386","6,195","6,201","8,449","10,119","20,311"
,West Baton Rouge,,,,,,,,,
,Parish,"24,106","5,924","2,797",493,"1,356","1,350","1,826","2,200","4,042"
,Totals,"3,392,926","819,230","423,555","68,207","191,193","191,021","260,864","311,478","635,760"
