Name: “Table 1 of 1 on page 64 of 179”,Name: “Table 1 of 1 on page 64 of 179”,Name: “Table 1 of 1 on page 64 of 179”,Name: “Table 1 of 1 on page 64 of 179”,Name: “Table 1 of 1 on page 64 of 179”,Name: “Table 1 of 1 on page 64 of 179”,Name: “Table 1 of 1 on page 64 of 179”,Name: “Table 1 of 1 on page 64 of 179”,Name: “Table 1 of 1 on page 64 of 179”,Name: “Table 1 of 1 on page 64 of 179”,Name: “Table 1 of 1 on page 64 of 179”
Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61
,,,,,,,,,,
,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,62
CONNECTICUT,CONNECTICUT,,,,,,,,,
American Lung Association in Connecticut,American Lung Association in Connecticut,,,,,,,,,
45 Ash Street,,,,,AT-RISK GROUPS,AT-RISK GROUPS,AT-RISK GROUPS,,,
"East Hartford, CT 06108-3272",,,,,,,,,,
(860) 838-4376,,,,,Lung Diseases,Lung Diseases,Lung Diseases,,,
www.lung.org/connecticut,,,,,,,,,,
,,,,,,,,Cardio-,,
,,Total,,65 &,Pediatric,Adult,,vascular,,
,County,Population,Under 18,Over,Asthma,Asthma,COPD,Disease,Diabetes,Poverty
,Fairfield,"933,835","224,965","130,626","27,176","70,430","38,296","49,366","64,400","81,756"
,Hartford,"897,259","198,768","135,411","24,011","69,344","38,104","49,545","63,962","106,357"
,Litchfield,"187,530","38,317","32,456","4,629","14,588","8,719","11,644","14,905","12,975"
,Middlesex,"165,602","33,414","27,570","4,036","13,005","7,519","9,942","12,759","10,376"
,New Haven,"862,813","186,847","129,258","22,571","67,245","36,536","47,341","61,154","110,945"
,New London,"274,170","56,900","41,491","6,874","21,569","11,829","15,343","19,876","24,476"
,Tolland,"151,539","29,126","19,713","3,518","12,269","6,293","7,893","10,492","10,014"
,Windham,"117,599","25,221","16,187","3,047","9,200","4,916","6,277","8,256","13,638"
,Totals,"3,590,347","793,558","532,712","95,862","277,650","152,211","197,352","255,804","370,537"
