Name: “Table 1 of 1 on page 138 of 179”,Name: “Table 1 of 1 on page 138 of 179”,Name: “Table 1 of 1 on page 138 of 179”,Name: “Table 1 of 1 on page 138 of 179”,Name: “Table 1 of 1 on page 138 of 179”,Name: “Table 1 of 1 on page 138 of 179”,Name: “Table 1 of 1 on page 138 of 179”,Name: “Table 1 of 1 on page 138 of 179”,Name: “Table 1 of 1 on page 138 of 179”,Name: “Table 1 of 1 on page 138 of 179”,Name: “Table 1 of 1 on page 138 of 179”,Name: “Table 1 of 1 on page 138 of 179”,Name: “Table 1 of 1 on page 138 of 179”,Name: “Table 1 of 1 on page 138 of 179”
Table: 135,Table: 135,Table: 135,Table: 135,Table: 135,Table: 135,Table: 135,Table: 135,Table: 135,Table: 135,Table: 135,Table: 135,Table: 135,Table: 135
,,,,,,,,,,,,,
,,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,136
OHIO,,,,,,,,,,,,,
American Lung Association in Ohio,American Lung Association in Ohio,,,,,,,,,,,,
5900 Wilcox Place,,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,
"Columbus, OH 43016",,,,,,,,,,,,,
(614) 279-1700,,,,,,,,24 Hour,24 Hour,,,Annual,
www.lung.org/ohio,,,,,Wgt.,,,,,Wgt.,,Design,Pass/
,County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
,Allen,17,0,0,5.7,F,0,0,0,0.0,A,INC,INC
,Ashtabula,19,1,0,6.8,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Athens,INC,INC,INC,INC,INC,0,0,0,0.0,A,8.9,PASS
,Butler,44,0,0,14.7,F,1,0,0,0.3,B,12.5,FAIL
,Clark,16,0,0,5.3,F,0,0,0,0.0,A,11.9,PASS
,Clermont,22,3,0,8.8,F,INC,INC,INC,INC,INC,INC,INC
,Clinton,24,1,0,8.5,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Cuyahoga,34,1,0,11.8,F,8,0,0,2.7,D,13.0,FAIL
,Delaware,7,1,0,2.8,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Fayette,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Franklin,23,1,0,8.2,F,2,0,0,0.7,B,11.9,PASS
,Geauga,15,2,0,6.0,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Greene,11,0,0,3.7,F,0,0,0,0.0,A,11.4,PASS
,Hamilton,46,3,0,16.8,F,5,0,0,1.7,C,13.4,FAIL
,Jefferson,7,0,0,2.3,D,2,0,0,0.7,B,12.2,FAIL
,Knox,7,1,0,2.8,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Lake,40,1,0,13.8,F,0,0,0,0.0,A,9.6,PASS
,Lawrence,7,0,0,2.3,D,0,0,0,0.0,A,11.3,PASS
,Licking,11,1,0,4.2,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Lorain,10,0,0,3.3,F,1,0,0,0.3,B,9.7,PASS
,Lucas,20,0,0,6.7,F,2,0,0,0.7,B,11.0,PASS
,Madison,15,0,0,5.0,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Mahoning,9,0,0,3.0,D,3,0,0,1.0,C,11.3,PASS
,Medina,4,0,0,1.3,C,0,0,0,0.0,A,INC,INC
,Miami,7,1,0,2.8,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Montgomery,26,0,0,8.7,F,1,0,0,0.3,B,12.3,FAIL
