Name: “Table 1 of 1 on page 131 of 179”,Name: “Table 1 of 1 on page 131 of 179”,Name: “Table 1 of 1 on page 131 of 179”,Name: “Table 1 of 1 on page 131 of 179”,Name: “Table 1 of 1 on page 131 of 179”,Name: “Table 1 of 1 on page 131 of 179”,Name: “Table 1 of 1 on page 131 of 179”,Name: “Table 1 of 1 on page 131 of 179”,Name: “Table 1 of 1 on page 131 of 179”,Name: “Table 1 of 1 on page 131 of 179”
Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128
,,,,,,,,,
,,,,AT-RISK GROUPS,AT-RISK GROUPS,AT-RISK GROUPS,,,
,,,,Lung Diseases,Lung Diseases,Lung Diseases,,,
,,,,,,,Cardio-,,
,Total,,65 &,Pediatric,Adult,,vascular,,
County,Population,Under 18,Over,Asthma,Asthma,COPD,Disease,Diabetes,Poverty
Lincoln,"79,313","18,133","11,535","1,594","4,694","4,383","5,759","6,746","11,483"
Macon,"33,869","6,501","8,527",572,"2,044","2,229","3,237","3,563","6,843"
Martin,"23,961","5,116","4,620",450,"1,430","1,455","2,009","2,286","5,873"
McDowell,"44,998","9,593","7,850",843,"2,695","2,607","3,533","4,052","8,785"
Mecklenburg,"969,031","242,487","91,024","21,320","56,184","44,862","54,915","66,444","153,049"
Mitchell,"15,368","2,879","3,434",253,940,981,"1,388","1,552","3,027"
Montgomery,"27,668","6,604","4,794",581,"1,601","1,555","2,120","2,421","6,278"
New Hanover,"209,234","40,925","30,911","3,598","12,863","11,301","14,807","17,202","32,217"
Person,"39,268","8,738","6,363",768,"2,333","2,244","3,003","3,479","6,283"
Pitt,"172,554","38,322","18,082","3,369","10,340","8,191","10,143","12,129","39,993"
Robeson,"135,496","36,198","16,210","3,183","7,633","6,618","8,480","10,020","45,611"
Rockingham,"92,720","19,845","16,136","1,745","5,554","5,434","7,358","8,462","17,539"
Rowan,"138,180","31,845","21,443","2,800","8,122","7,586","10,102","11,698","25,671"
Swain,"14,141","3,262","2,504",287,826,802,"1,096","1,249","2,906"
Union,"208,520","61,372","21,975","5,396","11,367","9,871","12,453","14,920","23,976"
Wake,"952,151","242,741","87,967","21,343","54,933","44,354","54,229","65,833","108,105"
Watauga,"51,871","7,081","6,890",623,"3,429","2,723","3,453","4,046","13,639"
Wayne,"124,246","30,306","16,980","2,665","7,198","6,435","8,399","9,820","28,283"
Yancey,"17,630","3,428","3,853",301,"1,070","1,109","1,565","1,753","3,551"
Totals,"6,651,778","1,579,200","849,957","138,850","389,555","339,662","437,299","515,119","1,139,859"
NORTH CAROLINA,NORTH CAROLINA,,,,,,,,
,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,129
