Name: “Table 1 of 1 on page 61 of 179”,Name: “Table 1 of 1 on page 61 of 179”,Name: “Table 1 of 1 on page 61 of 179”,Name: “Table 1 of 1 on page 61 of 179”,Name: “Table 1 of 1 on page 61 of 179”,Name: “Table 1 of 1 on page 61 of 179”,Name: “Table 1 of 1 on page 61 of 179”,Name: “Table 1 of 1 on page 61 of 179”,Name: “Table 1 of 1 on page 61 of 179”,Name: “Table 1 of 1 on page 61 of 179”,Name: “Table 1 of 1 on page 61 of 179”,Name: “Table 1 of 1 on page 61 of 179”,Name: “Table 1 of 1 on page 61 of 179”
Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Plumas,DNC,DNC,DNC,DNC,DNC,11,1,0,4.2,F,11.5,PASS
Riverside,242,46,0,103.7,F,91,3,0,31.8,F,15.6,FAIL
Sacramento,88,12,0,35.3,F,7,0,0,2.3,D,9.5,PASS
San Benito,3,0,0,1.0,C,0,0,0,0.0,A,5.4,PASS
San Bernardino,245,75,4,121.8,F,7,1,0,2.8,D,12.9,FAIL
San Diego,34,0,0,11.3,F,9,3,0,4.5,F,12.3,FAIL
San Francisco,0,0,0,0.0,A,6,0,0,2.0,C,9.4,PASS
San Joaquin,27,1,0,9.5,F,28,6,0,12.3,F,11.4,PASS
San Luis Obispo,33,0,0,11.0,F,3,0,0,1.0,C,8.2,PASS
San Mateo,1,0,0,0.3,B,2,0,0,0.7,B,8.5,PASS
Santa Barbara,8,0,0,2.7,D,0,0,0,0.0,A,9.5,PASS
Santa Clara,8,0,0,2.7,D,9,0,0,3.0,D,9.3,PASS
Santa Cruz,0,0,0,0.0,A,0,0,0,0.0,A,6.2,PASS
Shasta,6,0,0,2.0,C,0,0,0,0.0,A,5.3,PASS
Siskiyou,0,0,0,0.0,A,0,0,0,0.0,A,5.2,PASS
Solano,6,0,0,2.0,C,7,0,0,2.3,D,8.8,PASS
Sonoma,0,0,0,0.0,A,0,0,0,0.0,A,8.0,PASS
Stanislaus,59,3,0,21.2,F,68,13,0,29.2,F,14.9,FAIL
Sutter,10,0,0,3.3,F,8,2,0,3.7,F,6.9,PASS
Tehama,14,0,0,4.7,F,4,0,0,1.3,C,INC,INC
Trinity,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC
Tulare,242,16,0,88.7,F,15,4,0,7.0,F,14.8,FAIL
Tuolumne,7,0,0,2.3,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Ventura,37,0,0,12.3,F,1,0,0,0.3,B,8.9,PASS
Yolo,3,0,0,1.0,C,1,0,0,0.3,B,6.6,PASS
CALIFORNIA,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,59
