Name: “Table 1 of 1 on page 174 of 179”,Name: “Table 1 of 1 on page 174 of 179”,Name: “Table 1 of 1 on page 174 of 179”,Name: “Table 1 of 1 on page 174 of 179”,Name: “Table 1 of 1 on page 174 of 179”,Name: “Table 1 of 1 on page 174 of 179”,Name: “Table 1 of 1 on page 174 of 179”,Name: “Table 1 of 1 on page 174 of 179”,Name: “Table 1 of 1 on page 174 of 179”,Name: “Table 1 of 1 on page 174 of 179”,Name: “Table 1 of 1 on page 174 of 179”,Name: “Table 1 of 1 on page 174 of 179”,Name: “Table 1 of 1 on page 174 of 179”,Name: “Table 1 of 1 on page 174 of 179”
Table: 171,Table: 171,Table: 171,Table: 171,Table: 171,Table: 171,Table: 171,Table: 171,Table: 171,Table: 171,Table: 171,Table: 171,Table: 171,Table: 171
,,,,,,,,,,,,,
,,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,172
WISCONSIN,WISCONSIN,,,,,,,,,,,,
American Lung Association in Wisconsin,American Lung Association in Wisconsin,,,,,,,,,,,,
"13100 West Lisbon Road, Suite 700",,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,
"Brookfield, WI 53005-2508",,,,,,,,,,,,,
(262) 703-4200,,,,,,,,24 Hour,24 Hour,,,Annual,
www.lung.org/wisconsin,,,,,Wgt.,,,,,Wgt.,,Design,Pass/
,County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
,Ashland,0,0,0,0.0,A,0,0,0,0.0,A,5.3,PASS
,Brown,8,1,0,3.2,D,12,0,0,4.0,F,9.6,PASS
,Columbia,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Dane,2,0,0,0.7,B,5,0,0,1.7,C,9.9,PASS
,Dodge,5,1,0,2.2,D,2,0,0,0.7,B,9.3,PASS
,Door,19,2,0,7.3,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Eau Claire,INC,INC,INC,INC,INC,0,0,0,0.0,A,INC,INC
,Florence,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Fond du Lac,7,1,0,2.8,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Forest,4,0,0,1.3,C,0,0,0,0.0,A,5.6,PASS
,Grant,DNC,DNC,DNC,DNC,DNC,1,0,0,0.3,B,10.0,PASS
,Jefferson,4,0,0,1.3,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Kenosha,33,4,0,13.0,F,1,0,0,0.3,B,9.5,PASS
,Kewaunee,15,1,0,5.5,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,La Crosse,0,0,0,0.0,A,1,0,0,0.3,B,9.0,PASS
,Manitowoc,16,2,0,6.3,F,INC,INC,INC,INC,INC,INC,INC
,Marathon,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Milwaukee,28,3,0,10.8,F,5,0,0,1.7,C,10.9,PASS
,Oneida,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Outagamie,6,1,0,2.5,D,4,0,0,1.3,C,9.2,PASS
,Ozaukee,26,2,0,9.7,F,0,0,0,0.0,A,9.1,PASS
,Racine,28,2,0,10.3,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Rock,6,0,0,2.0,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,St. Croix,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC
,Sauk,3,0,0,1.0,C,1,0,0,0.3,B,8.6,PASS
,Sheboygan,34,5,0,13.8,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
