Name: “Table 1 of 1 on page 16 of 179”,Name: “Table 1 of 1 on page 16 of 179”,Name: “Table 1 of 1 on page 16 of 179”,Name: “Table 1 of 1 on page 16 of 179”,Name: “Table 1 of 1 on page 16 of 179”,Name: “Table 1 of 1 on page 16 of 179”,Name: “Table 1 of 1 on page 16 of 179”,Name: “Table 1 of 1 on page 16 of 179”,Name: “Table 1 of 1 on page 16 of 179”,Name: “Table 1 of 1 on page 16 of 179”,Name: “Table 1 of 1 on page 16 of 179”,Name: “Table 1 of 1 on page 16 of 179”
Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13
,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,14
People at Risk In 25 U.S. Cities Most Polluted by Year-Round Particle Pollution (Annual PM2.5),People at Risk In 25 U.S. Cities Most Polluted by Year-Round Particle Pollution (Annual PM2.5),People at Risk In 25 U.S. Cities Most Polluted by Year-Round Particle Pollution (Annual PM2.5),People at Risk In 25 U.S. Cities Most Polluted by Year-Round Particle Pollution (Annual PM2.5),People at Risk In 25 U.S. Cities Most Polluted by Year-Round Particle Pollution (Annual PM2.5),People at Risk In 25 U.S. Cities Most Polluted by Year-Round Particle Pollution (Annual PM2.5),People at Risk In 25 U.S. Cities Most Polluted by Year-Round Particle Pollution (Annual PM2.5),People at Risk In 25 U.S. Cities Most Polluted by Year-Round Particle Pollution (Annual PM2.5),People at Risk In 25 U.S. Cities Most Polluted by Year-Round Particle Pollution (Annual PM2.5),,,
2014,2014,,Total,,65 and,Pediatric,Adult,,CV,,
Rank1,Rank1,Metropolitan Statistical Areas,Population2,Under 18 3,Over3,"Asthma .4,6","Asthma5,6",COPD7,Disease 8,Diabetes 9,Poverty 10
,1,"Fresno-Madera, CA","1,100,113","321,057","118,768","28,163","68,342","35,124","49,661","73,409","296,919"
,2,"Visalia-Porterville-Hanford, CA","603,341","187,060","57,426","16,409","36,397","18,204","25,234","37,915","161,299"
,3,"Bakersfield, CA","856,158","255,815","80,525","22,440","52,552","26,262","36,291","54,932","195,433"
,3,"Los Angeles-Long Beach, CA","18,238,998","4,510,957","2,112,146","395,699","1,207,447","626,541","889,485","1,317,256","3,180,714"
,5,"Modesto-Merced, CA","784,031","226,011","85,097","19,826","49,029","25,321","35,859","53,125","165,981"
,6,"Pittsburgh-New Castle-Weirton, PA-OH-WV","2,661,369","522,226","472,879","53,760","214,860","149,397","207,620","229,649","327,390"
,7,"El Centro, CA","176,948","50,686","19,527","4,446","11,084","5,722","8,115","11,970","38,189"
,8,"El Paso-Las Cruces, TX-NM","1,045,180","299,658","115,604","23,081","54,409","39,900","54,711","76,037","251,188"
,8,"Phoenix-Mesa-Scottsdale, AZ","4,329,534","1,110,210","573,413","94,629","278,199","187,356","266,697","335,194","739,213"
,8,"St. Louis-St. Charles-Farmington, MO-IL","2,900,605","673,074","409,326","66,572","221,038","169,514","205,856","232,181","404,224"
11,11,"Cincinnati-Wilmington-Maysville, OH-KY-IN","2,188,001","534,579","282,828","47,895","175,182","147,881","163,816","183,926","321,436"
11,11,"Philadelphia-Reading-Camden, PA-NJ-DE-MD","7,129,428","1,625,860","1,005,294","159,508","536,473","343,689","463,539","529,938","938,401"
13,13,"Louisville/Jefferson County-Elizabethtown-Madison, KY-IN","1,478,637","349,246","198,854","35,110","120,277","118,408","129,934","121,032","229,972"
13,13,"New York-Newark, NY-NJ-CT-PA","23,362,099","5,226,786","3,220,554","488,177","1,662,512","1,068,245","1,392,908","1,710,199","3,232,239"
15,15,"Macon-Warner Robins, GA","418,201","103,738","53,345","11,225","25,844","23,080","29,124","32,613","86,424"
16,16,"Birmingham-Hoover-Talladega, AL","1,309,818","308,441","183,656","34,704","85,987","98,561","117,729","122,364","221,999"
16,16,"Cleveland-Akron-Canton, OH","3,497,711","779,681","555,966","66,994","283,053","237,500","278,890","327,060","531,631"
18,18,"Atlanta-Athens-Clarke County-Sandy Springs, GA","6,092,295","1,564,174","617,176","169,253","371,132","315,121","377,489","430,790","1,017,357"
19,19,"Wheeling, WV-OH","146,420","28,482","27,019","2,327","12,122","11,661","15,527","15,329","22,988"
20,20,"Chicago-Naperville, IL-IN-WI","9,899,902","2,416,660","1,205,623","224,825","637,270","446,747","576,699","691,916","1,422,025"
20,20,"Indianapolis-Carmel-Muncie, IN","2,310,360","580,360","284,320","54,927","156,574","129,262","161,629","183,582","339,595"
22,22,"Columbus-Auburn-Opelika, GA-AL","491,852","117,334","56,877","12,930","31,310","29,973","35,489","38,431","96,604"
23,23,"Dayton-Springfield-Sidney, OH","1,079,417","246,098","170,912","21,146","86,918","72,107","84,546","98,998","172,857"
23,23,"Johnstown-Somerset, PA","218,541","41,597","42,384","4,323","17,635","12,448","17,661","19,496","28,490"
23,23,"San Diego-Carlsbad, CA","3,177,063","726,268","380,276","63,708","215,294","111,464","158,275","233,550","465,651"
Notes:,Notes:,,,,,,,,,,
1.,Cities are ranked using the highest weighted average for any county within that Combined or Metropolitan Statistical Area.,Cities are ranked using the highest weighted average for any county within that Combined or Metropolitan Statistical Area.,Cities are ranked using the highest weighted average for any county within that Combined or Metropolitan Statistical Area.,Cities are ranked using the highest weighted average for any county within that Combined or Metropolitan Statistical Area.,,,,,,,
2.	 Total Population represents the at-risk populations for all counties within the respective Combined or Metropolitan Statistical Area.,2.	 Total Population represents the at-risk populations for all counties within the respective Combined or Metropolitan Statistical Area.,2.	 Total Population represents the at-risk populations for all counties within the respective Combined or Metropolitan Statistical Area.,2.	 Total Population represents the at-risk populations for all counties within the respective Combined or Metropolitan Statistical Area.,2.	 Total Population represents the at-risk populations for all counties within the respective Combined or Metropolitan Statistical Area.,2.	 Total Population represents the at-risk populations for all counties within the respective Combined or Metropolitan Statistical Area.,,,,,,
3.,"Those under 18 and 65 and over are vulnerable to PM2.5 and are, therefore, included. They should not be used as population denominators for disease estimates.","Those under 18 and 65 and over are vulnerable to PM2.5 and are, therefore, included. They should not be used as population denominators for disease estimates.","Those under 18 and 65 and over are vulnerable to PM2.5 and are, therefore, included. They should not be used as population denominators for disease estimates.","Those under 18 and 65 and over are vulnerable to PM2.5 and are, therefore, included. They should not be used as population denominators for disease estimates.","Those under 18 and 65 and over are vulnerable to PM2.5 and are, therefore, included. They should not be used as population denominators for disease estimates.","Those under 18 and 65 and over are vulnerable to PM2.5 and are, therefore, included. They should not be used as population denominators for disease estimates.",,,,,
