Name: “Table 1 of 1 on page 177 of 179”,Name: “Table 1 of 1 on page 177 of 179”,Name: “Table 1 of 1 on page 177 of 179”,Name: “Table 1 of 1 on page 177 of 179”,Name: “Table 1 of 1 on page 177 of 179”,Name: “Table 1 of 1 on page 177 of 179”,Name: “Table 1 of 1 on page 177 of 179”,Name: “Table 1 of 1 on page 177 of 179”,Name: “Table 1 of 1 on page 177 of 179”,Name: “Table 1 of 1 on page 177 of 179”,Name: “Table 1 of 1 on page 177 of 179”,Name: “Table 1 of 1 on page 177 of 179”,Name: “Table 1 of 1 on page 177 of 179”
Table: 174,Table: 174,Table: 174,Table: 174,Table: 174,Table: 174,Table: 174,Table: 174,Table: 174,Table: 174,Table: 174,Table: 174,Table: 174
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Albany,INC,INC,INC,INC,INC,0,0,0,0.0,A,5.0,PASS
Big Horn,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Campbell,1,0,0,0.3,B,2,1,0,1.2,C,INC,INC
Carbon,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Converse,INC,INC,INC,INC,INC,1,0,0,0.3,B,INC,INC
Crook,4,0,0,1.3,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Fremont,1,0,0,0.3,B,1,0,0,0.3,B,8.3,PASS
Laramie,INC,INC,INC,INC,INC,1,0,0,0.3,B,4.7,PASS
Natrona,INC,INC,INC,INC,INC,1,0,0,0.3,B,4.8,PASS
Park,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,4.7,PASS
Sheridan,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,8.3,PASS
Sublette,10,1,3,5.8,F,5,6,0,4.7,F,INC,INC
Sweetwater,0,0,0,0.0,A,2,0,0,0.7,B,6.0,PASS
Teton,0,0,0,0.0,A,1,0,0,0.3,B,5.1,PASS
Uinta,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Weston,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
WYOMING,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,175
