Name: “Table 1 of 1 on page 156 of 179”,Name: “Table 1 of 1 on page 156 of 179”,Name: “Table 1 of 1 on page 156 of 179”,Name: “Table 1 of 1 on page 156 of 179”,Name: “Table 1 of 1 on page 156 of 179”,Name: “Table 1 of 1 on page 156 of 179”,Name: “Table 1 of 1 on page 156 of 179”,Name: “Table 1 of 1 on page 156 of 179”,Name: “Table 1 of 1 on page 156 of 179”,Name: “Table 1 of 1 on page 156 of 179”,Name: “Table 1 of 1 on page 156 of 179”
Table: 153,Table: 153,Table: 153,Table: 153,Table: 153,Table: 153,Table: 153,Table: 153,Table: 153,Table: 153,Table: 153
,,,,,,,,,,
,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,154
TEXAS,,,,,,,,,,
American Lung Association in Texas,American Lung Association in Texas,,,,,,,,,
"1341 West Mockingbird Lane, Suite 95	0W","1341 West Mockingbird Lane, Suite 95	0W",,,,AT-RISK GROUPS,AT-RISK GROUPS,AT-RISK GROUPS,,,
"Dallas, TX 75247",,,,,,,,,,
(214) 631-5864,,,,,Lung Diseases,Lung Diseases,Lung Diseases,,,
www.lung.org/texas,,,,,,,,,,
,,,,,,,,Cardio-,,
,,Total,,65 &,Pediatric,Adult,,vascular,,
,County,Population,Under 18,Over,Asthma,Asthma,COPD,Disease,Diabetes,Poverty
,Bell,"323,037","89,852","29,693","6,997","15,681","11,005","15,625","22,324","45,253"
,Bexar,"1,785,704","473,426","191,424","36,867","89,335","66,618","95,865","135,842","333,176"
,Bowie,"93,148","22,288","13,728","1,736","4,899","4,016","5,984","8,250","17,565"
,Brazoria,"324,769","88,236","33,128","6,871","16,223","12,296","17,536","25,110","36,633"
,Brewster,"9,316","1,953","1,620",152,514,443,670,914,"1,394"
,Cameron,"415,557","134,500","48,185","10,474","19,168","14,780","21,764","30,215","145,824"
,Collin,"834,642","231,771","73,018","18,049","41,215","30,285","42,432","61,696","64,567"
,Dallas,"2,453,843","670,217","224,990","52,192","121,013","87,305","123,334","177,554","466,855"
,Denton,"707,304","190,492","55,023","14,834","35,029","24,614","34,047","49,952","61,520"
,Ector,"144,325","41,935","14,367","3,266","6,960","5,134","7,353","10,460","20,576"
,El Paso,"827,398","242,379","87,237","18,875","39,754","29,589","42,750","60,323","194,470"
,Ellis,"153,969","43,073","16,809","3,354","7,648","5,965","8,579","12,208","16,611"
,Galveston,"300,484","74,824","35,942","5,827","15,627","12,433","17,974","25,486","36,380"
,Gillespie,"25,153","4,935","6,981",384,"1,444","1,459","2,353","3,038","3,009"
,Gregg,"122,658","31,465","16,799","2,450","6,275","5,030","7,454","10,315","22,345"
,Harris,"4,253,700","1,172,689","369,564","91,322","208,914","149,358","209,659","303,529","783,419"
,Harrison,"67,450","17,205","9,437","1,340","3,480","2,850","4,221","5,854","11,672"
,Hays,"168,990","40,774","15,570","3,175","8,642","6,067","8,552","12,310","26,361"
,Hidalgo,"806,552","275,493","78,782","21,454","35,819","26,022","37,707","52,939","272,635"
,Hood,"52,044","10,686","11,819",832,"2,932","2,781","4,356","5,769","5,937"
,Hunt,"87,079","21,468","12,803","1,672","4,557","3,787","5,635","7,787","16,545"
,Jefferson,"251,813","60,027","32,598","4,675","13,198","10,429","15,266","21,364","49,556"
,Johnson,"153,441","41,005","18,945","3,193","7,775","6,218","9,069","12,751","19,423"
,Kaufman,"106,753","30,162","11,824","2,349","5,278","4,118","5,940","8,429","14,789"
,Lubbock,"285,760","68,712","32,436","5,351","14,673","10,752","15,579","21,890","60,456"
