Name: “Table 1 of 1 on page 103 of 179”,Name: “Table 1 of 1 on page 103 of 179”,Name: “Table 1 of 1 on page 103 of 179”,Name: “Table 1 of 1 on page 103 of 179”,Name: “Table 1 of 1 on page 103 of 179”,Name: “Table 1 of 1 on page 103 of 179”,Name: “Table 1 of 1 on page 103 of 179”,Name: “Table 1 of 1 on page 103 of 179”,Name: “Table 1 of 1 on page 103 of 179”,Name: “Table 1 of 1 on page 103 of 179”,Name: “Table 1 of 1 on page 103 of 179”,Name: “Table 1 of 1 on page 103 of 179”,Name: “Table 1 of 1 on page 103 of 179”
Table: 100,Table: 100,Table: 100,Table: 100,Table: 100,Table: 100,Table: 100,Table: 100,Table: 100,Table: 100,Table: 100,Table: 100,Table: 100
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Barnstable,10,0,0,3.3,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Berkshire,2,0,0,0.7,B,1,0,0,0.3,B,8.8,PASS
Bristol,15,0,0,5.0,F,0,0,0,0.0,A,7.6,PASS
Dukes,16,3,0,6.8,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Essex,7,0,0,2.3,D,0,0,0,0.0,A,8.0,PASS
Hampden,6,0,0,2.0,C,1,0,0,0.3,B,9.3,PASS
Hampshire,11,0,0,3.7,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Middlesex,3,0,0,1.0,C,0,0,0,0.0,A,7.3,PASS
Norfolk,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Plymouth,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,7.9,PASS
Suffolk,3,0,0,1.0,C,1,1,0,0.8,B,9.9,PASS
Worcester,7,0,0,2.3,D,0,0,0,0.0,A,8.8,PASS
MASSACHUSETTS,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,101
