Name: “Table 1 of 1 on page 147 of 179”,Name: “Table 1 of 1 on page 147 of 179”,Name: “Table 1 of 1 on page 147 of 179”,Name: “Table 1 of 1 on page 147 of 179”,Name: “Table 1 of 1 on page 147 of 179”,Name: “Table 1 of 1 on page 147 of 179”,Name: “Table 1 of 1 on page 147 of 179”,Name: “Table 1 of 1 on page 147 of 179”,Name: “Table 1 of 1 on page 147 of 179”,Name: “Table 1 of 1 on page 147 of 179”,Name: “Table 1 of 1 on page 147 of 179”,Name: “Table 1 of 1 on page 147 of 179”,Name: “Table 1 of 1 on page 147 of 179”
Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Mercer,20,1,0,7.2,F,1,0,0,0.3,B,10.6,PASS
Monroe,6,0,0,2.0,C,0,0,0,0.0,A,INC,INC
Montgomery,19,0,0,6.3,F,4,0,0,1.3,C,9.8,PASS
Northampton,15,0,0,5.0,F,15,2,0,6.0,F,13.2,FAIL
Perry,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Philadelphia,50,0,0,16.7,F,7,0,0,2.3,D,13.4,FAIL
Somerset,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Tioga,4,0,0,1.3,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Washington,9,0,0,3.0,D,5,0,0,1.7,C,11.1,PASS
Westmoreland,13,0,0,4.3,F,10,0,0,3.3,F,12.6,FAIL
York,16,0,0,5.3,F,10,0,0,3.3,F,11.7,PASS
PENNSYLVANIA,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,145
