Name: “Table 1 of 1 on page 99 of 179”,Name: “Table 1 of 1 on page 99 of 179”,Name: “Table 1 of 1 on page 99 of 179”,Name: “Table 1 of 1 on page 99 of 179”,Name: “Table 1 of 1 on page 99 of 179”,Name: “Table 1 of 1 on page 99 of 179”,Name: “Table 1 of 1 on page 99 of 179”,Name: “Table 1 of 1 on page 99 of 179”,Name: “Table 1 of 1 on page 99 of 179”,Name: “Table 1 of 1 on page 99 of 179”,Name: “Table 1 of 1 on page 99 of 179”,Name: “Table 1 of 1 on page 99 of 179”,Name: “Table 1 of 1 on page 99 of 179”
Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Androscoggin,0,0,0,0.0,A,1,0,0,0.3,B,7.5,PASS
Aroostook,0,0,0,0.0,A,0,1,0,0.5,B,6.6,PASS
Cumberland,4,1,0,1.8,C,1,0,0,0.3,B,8.4,PASS
Hancock,7,0,0,2.3,D,0,0,0,0.0,A,4.6,PASS
Kennebec,1,0,0,0.3,B,0,0,0,0.0,A,7.1,PASS
Knox,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Oxford,0,0,0,0.0,A,0,1,0,0.5,B,8.2,PASS
Penobscot,0,0,0,0.0,A,0,0,0,0.0,A,7.3,PASS
Piscataquis,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC
Sagadahoc,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Washington,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
York,9,0,0,3.0,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC
MAINE,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,97
