Name: “Table 1 of 1 on page 53 of 179”,Name: “Table 1 of 1 on page 53 of 179”,Name: “Table 1 of 1 on page 53 of 179”,Name: “Table 1 of 1 on page 53 of 179”,Name: “Table 1 of 1 on page 53 of 179”,Name: “Table 1 of 1 on page 53 of 179”,Name: “Table 1 of 1 on page 53 of 179”,Name: “Table 1 of 1 on page 53 of 179”,Name: “Table 1 of 1 on page 53 of 179”,Name: “Table 1 of 1 on page 53 of 179”,Name: “Table 1 of 1 on page 53 of 179”,Name: “Table 1 of 1 on page 53 of 179”,Name: “Table 1 of 1 on page 53 of 179”
Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
Borough,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Anchorage,,,,,,,,,,,,
Municipality,0,0,0,0.0,A,0,0,0,0.0,A,6.0,PASS
Fairbanks North,,,,,,,,,,,,
Star Borough,INC,INC,INC,INC,INC,24,9,2,13.8,F,11.5,PASS
Juneau City and,,,,,,,,,,,,
Borough,DNC,DNC,DNC,DNC,DNC,2,0,0,0.7,B,7.4,PASS
Kenai Peninsula,,,,,,,,,,,,
Borough,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC
Matanuska-Susitna,,,,,,,,,,,,
Borough,INC,INC,INC,INC,INC,8,0,0,2.7,D,6.6,PASS
Yukon-Koyukuk,,,,,,,,,,,,
Census Area,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
ALASKA,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,51
