Name: “Table 1 of 1 on page 18 of 179”,Name: “Table 1 of 1 on page 18 of 179”,Name: “Table 1 of 1 on page 18 of 179”,Name: “Table 1 of 1 on page 18 of 179”,Name: “Table 1 of 1 on page 18 of 179”,Name: “Table 1 of 1 on page 18 of 179”,Name: “Table 1 of 1 on page 18 of 179”,Name: “Table 1 of 1 on page 18 of 179”,Name: “Table 1 of 1 on page 18 of 179”,Name: “Table 1 of 1 on page 18 of 179”,Name: “Table 1 of 1 on page 18 of 179”,Name: “Table 1 of 1 on page 18 of 179”,Name: “Table 1 of 1 on page 18 of 179”,Name: “Table 1 of 1 on page 18 of 179”,Name: “Table 1 of 1 on page 18 of 179”
Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15
,,,,,,,,,,,,,,
,,,,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,16
People at Risk in 25 Counties Most Polluted by Short-term Particle Pollution (24-hour PM2.5),People at Risk in 25 Counties Most Polluted by Short-term Particle Pollution (24-hour PM2.5),People at Risk in 25 Counties Most Polluted by Short-term Particle Pollution (24-hour PM2.5),People at Risk in 25 Counties Most Polluted by Short-term Particle Pollution (24-hour PM2.5),People at Risk in 25 Counties Most Polluted by Short-term Particle Pollution (24-hour PM2.5),People at Risk in 25 Counties Most Polluted by Short-term Particle Pollution (24-hour PM2.5),People at Risk in 25 Counties Most Polluted by Short-term Particle Pollution (24-hour PM2.5),People at Risk in 25 Counties Most Polluted by Short-term Particle Pollution (24-hour PM2.5),People at Risk in 25 Counties Most Polluted by Short-term Particle Pollution (24-hour PM2.5),People at Risk in 25 Counties Most Polluted by Short-term Particle Pollution (24-hour PM2.5),People at Risk in 25 Counties Most Polluted by Short-term Particle Pollution (24-hour PM2.5),People at Risk in 25 Counties Most Polluted by Short-term Particle Pollution (24-hour PM2.5),,High PM2.5 Days in,High PM2.5 Days in
,,,,,,,,,,,,,"Unhealthy Ranges,","Unhealthy Ranges,"
,,,,,,,,At-Risk Groups,At-Risk Groups,,,,2010–2012,2010–2012
2014,2014,,,Total,,65 and,Pediatric,Adult,,CV,,,Weighted,
Rank1,Rank1,County,ST,Population 2,Under 18 3,Over3,"Asthma 4,6","Asthma5,6",COPD7,Disease8,Diabetes9,Poverty10,Avg.11,Grade12
,1,Fresno,CA,"947,895","277,928","100,217","24,380","58,731","30,020","42,282","62,691","263,134",37.0,F
,2,Kings,CA,"151,364","41,880","12,839","3,674","9,534","4,591","6,174","9,529","28,388",34.3,F
,3,Kern,CA,"856,158","255,815","80,525","22,440","52,552","26,262","36,291","54,932","195,433",33.3,F
,4,Riverside,CA,"2,268,783","621,038","281,587","54,477","145,184","77,188","111,695","162,066","398,252",31.8,F
,5,Lemhi,ID,"7,758","1,414","1,903",124,568,424,651,706,"1,380",30.7,F
,6,Stanislaus,CA,"521,726","145,520","59,055","12,765","33,120","17,294","24,655","36,403","103,926",29.2,F
,7,Los Angeles,CA,"9,962,789","2,360,255","1,144,579","207,040","667,835","343,914","485,919","721,640","1,873,522",25.2,F
,8,Ravalli,MT,"40,617","8,468","8,545",648,"3,008","2,243","3,223","2,690","6,566",23.7,F
,9,Madera,CA,"152,218","43,129","18,551","3,783","9,611","5,104","7,379","10,718","33,785",20.5,F
10,10,Allegheny,PA,"1,229,338","237,163","208,167","24,647","100,057","66,353","91,550","102,032","151,371",19.2,F
11,11,Shoshone,ID,"12,702","2,580","2,618",227,892,631,942,"1,041","2,459",14.8,F
12,12,Merced,CA,"262,305","80,491","26,042","7,061","15,909","8,027","11,204","16,722","62,055",14.7,F
13,13,Fairbanks North,,,,,,,,,,,,
,,Star Borough,AK,"100,272","24,757","7,165","2,177","6,771","3,554","4,060","4,739","8,847",13.8,F
14,14,Salt Lake,UT,"1,063,842","306,723","96,618","21,774","67,221","29,029","41,856","54,145","139,534",13.2,F
15,15,Doña Ana,NM,"214,445","56,374","27,868","4,136","14,485","10,165","11,743","15,414","55,752",12.5,F
16,16,San Joaquin,CA,"702,612","201,160","77,249","17,646","44,136","22,956","32,618","48,340","127,598",12.3,F
17,17,Silver Bow,MT,"34,403","7,202","5,726",551,"2,570","1,693","2,342","1,993","6,252",10.5,F
18,18,Lewis and Clark,MT,"64,876","14,289","9,626","1,094","4,780","3,097","4,193","3,671","7,101",8.7,F
18,18,Cache,UT,"115,520","35,684","9,431","2,533","7,023","2,830","3,978","5,183","17,518",8.7,F
18,18,Weber,UT,"236,640","70,336","25,049","4,993","14,783","6,674","10,075","12,654","29,861",8.7,F
21,21,Missoula,MT,"110,977","21,388","13,807","1,637","8,559","4,833","6,353","5,511","16,277",8.5,F
22,22,Inyo,CA,"18,495","3,876","3,680",340,"1,317",806,"1,266","1,732","2,139",8.2,F
