Name: “Table 1 of 1 on page 87 of 179”,Name: “Table 1 of 1 on page 87 of 179”,Name: “Table 1 of 1 on page 87 of 179”,Name: “Table 1 of 1 on page 87 of 179”,Name: “Table 1 of 1 on page 87 of 179”,Name: “Table 1 of 1 on page 87 of 179”,Name: “Table 1 of 1 on page 87 of 179”,Name: “Table 1 of 1 on page 87 of 179”,Name: “Table 1 of 1 on page 87 of 179”,Name: “Table 1 of 1 on page 87 of 179”,Name: “Table 1 of 1 on page 87 of 179”,Name: “Table 1 of 1 on page 87 of 179”,Name: “Table 1 of 1 on page 87 of 179”
Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,Annual
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Perry,16,0,0,5.3,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Porter,7,3,0,3.8,F,4,2,0,2.3,D,10.7,PASS
Posey,4,0,0,1.3,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
St. Joseph,10,0,1,4.0,F,12,0,0,4.0,F,10.6,PASS
Shelby,12,0,0,4.0,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Spencer,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,12.0,PASS
Tippecanoe,DNC,DNC,DNC,DNC,DNC,4,0,0,1.3,C,10.6,PASS
Vanderburgh,14,0,0,4.7,F,2,0,0,0.7,B,12.2,FAIL
Vigo,4,0,0,1.3,C,6,0,0,2.0,C,11.9,PASS
Wabash,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Warrick,15,0,0,5.0,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Whitley,DNC,DNC,DNC,DNC,DNC,2,0,0,0.7,B,INC,INC
INDIANA,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,85
