Name: “Table 1 of 1 on page 24 of 179”,Name: “Table 1 of 1 on page 24 of 179”,Name: “Table 1 of 1 on page 24 of 179”,Name: “Table 1 of 1 on page 24 of 179”,Name: “Table 1 of 1 on page 24 of 179”,Name: “Table 1 of 1 on page 24 of 179”,Name: “Table 1 of 1 on page 24 of 179”
Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21
,,,,,,
,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,22
Cleanest Counties for Short-term Particle Pollution (24-hour PM2.5) 1 (cont.),Cleanest Counties for Short-term Particle Pollution (24-hour PM2.5) 1 (cont.),Cleanest Counties for Short-term Particle Pollution (24-hour PM2.5) 1 (cont.),Cleanest Counties for Short-term Particle Pollution (24-hour PM2.5) 1 (cont.),,,
County,State,MSAs and Respective CSA2,County,State,MSAs and Respective CSA2,
Adams,IL,"Quincy-Hannibal, IL-MO",Terrebonne Parish,LA,"Houma-Thibodaux, LA",
Champaign,IL,"Champaign-Urbana, IL",Bristol,MA,"Boston-Worcester-Providence, MA-RI-NH-CT",
DuPage,IL,"Chicago-Naperville, IL-IN-WI",Essex,MA,"Boston-Worcester-Providence, MA-RI-NH-CT",
Hamilton,IL,,Middlesex,MA,"Boston-Worcester-Providence, MA-RI-NH-CT",
Jersey,IL,"St. Louis-St. Charles-Farmington, MO-IL",Plymouth,MA,"Boston-Worcester-Providence, MA-RI-NH-CT",
Macon,IL,"Decatur, IL",Worcester,MA,"Boston-Worcester-Providence, MA-RI-NH-CT",
McHenry,IL,"Chicago-Naperville, IL-IN-WI",Harford,MD,"Washington-Baltimore-Arlington,",
Peoria,IL,"Peoria-Canton, IL",,,DC-MD-VA-WV-PA,
Randolph,IL,,Hancock,ME,,
Rock Island,IL,"Davenport-Moline, IA-IL",Kennebec,ME,,
Sangamon,IL,"Springfield-Jacksonville-Lincoln, IL",Penobscot,ME,"Bangor, ME",
LaPorte,IN,"Chicago-Naperville, IL-IN-WI",Allegan,MI,"Grand Rapids-Wyoming-Muskegon, MI",
Monroe,IN,"Bloomington-Bedford, IN",Berrien,MI,"South Bend-Elkhart-Mishawaka, IN-MI",
Spencer,IN,,Genesee,MI,"Detroit-Warren-Ann Arbor, MI",
Johnson,KS,"Kansas City-Overland Park-Kansas City, MO-KS",Ingham,MI,"Lansing-East Lansing-Owosso, MI",
Linn,KS,"Kansas City-Overland Park-Kansas City, MO-KS",Kalamazoo,MI,"Kalamazoo-Battle Creek-Portage, MI",
Sedgwick,KS,"Wichita-Arkansas City-Winfield, KS",Lenawee,MI,"Detroit-Warren-Ann Arbor, MI",
Sumner,KS,"Wichita-Arkansas City-Winfield, KS",Macomb,MI,"Detroit-Warren-Ann Arbor, MI",
Wyandotte,KS,"Kansas City-Overland Park-Kansas City, MO-KS",Manistee,MI,,
Boyd,KY,"Charleston-Huntington-Ashland, WV-OH-KY",Missaukee,MI,,
Campbell,KY,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Oakland,MI,"Detroit-Warren-Ann Arbor, MI",
Carter,KY,,Ottawa,MI,"Grand Rapids-Wyoming-Muskegon, MI",
Christian,KY,"Clarksville, TN-KY",Washtenaw,MI,"Detroit-Warren-Ann Arbor, MI",
Daviess,KY,"Owensboro, KY",Cass,MN,,
Hardin,KY,Louisville/Jefferson County-Elizabethtown-,Buchanan,MO,"Kansas City-Overland Park-Kansas City, MO-KS","Kansas City-Overland Park-Kansas City, MO-KS"
,,"Madison, KY-IN",Cass,MO,"Kansas City-Overland Park-Kansas City, MO-KS","Kansas City-Overland Park-Kansas City, MO-KS"
Henderson,KY,"Evansville, IN-KY",Cedar,MO,,
Madison,KY,"Lexington-Fayette-Richmond-Frankfort, KY",Clay,MO,"Kansas City-Overland Park-Kansas City, MO-KS","Kansas City-Overland Park-Kansas City, MO-KS"
McCracken,KY,"Paducah-Mayfield, KY-IL",DeSoto,MS,"Memphis-Forrest City, TN-MS-AR",
Warren,KY,"Bowling Green-Glasgow, KY",Forrest,MS,"Hattiesburg, MS",
Calcasieu Parish,LA,"Lake Charles, LA",Grenada,MS,,
Iberville Parish,LA,"Baton Rouge, LA",Hancock,MS,"Gulfport-Biloxi-Pascagoula, MS",
Jefferson Parish,LA,"New Orleans-Metairie-Hammond, LA-MS",Harrison,MS,"Gulfport-Biloxi-Pascagoula, MS",
