Name: “Table 1 of 1 on page 159 of 179”,Name: “Table 1 of 1 on page 159 of 179”,Name: “Table 1 of 1 on page 159 of 179”,Name: “Table 1 of 1 on page 159 of 179”,Name: “Table 1 of 1 on page 159 of 179”,Name: “Table 1 of 1 on page 159 of 179”,Name: “Table 1 of 1 on page 159 of 179”,Name: “Table 1 of 1 on page 159 of 179”,Name: “Table 1 of 1 on page 159 of 179”,Name: “Table 1 of 1 on page 159 of 179”,Name: “Table 1 of 1 on page 159 of 179”,Name: “Table 1 of 1 on page 159 of 179”,Name: “Table 1 of 1 on page 159 of 179”
Table: 156,Table: 156,Table: 156,Table: 156,Table: 156,Table: 156,Table: 156,Table: 156,Table: 156,Table: 156,Table: 156,Table: 156,Table: 156
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Montgomery,18,0,0,6.0,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Navarro,4,0,0,1.3,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Nueces,8,0,0,2.7,D,3,0,0,1.0,C,10.4,PASS
Orange,13,0,0,4.3,F,INC,INC,INC,INC,INC,INC,INC
Parker,20,1,0,7.2,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Polk,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Potter,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC
Randall,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Rockwall,15,1,0,5.5,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Smith,8,0,0,2.7,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Tarrant,54,6,0,21.0,F,1,0,0,0.3,B,10.7,PASS
Travis,9,0,0,3.0,D,0,0,0,0.0,A,10.2,PASS
Victoria,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Webb,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
TEXAS,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,157
