Name: “Table 1 of 1 on page 97 of 179”,Name: “Table 1 of 1 on page 97 of 179”,Name: “Table 1 of 1 on page 97 of 179”,Name: “Table 1 of 1 on page 97 of 179”,Name: “Table 1 of 1 on page 97 of 179”,Name: “Table 1 of 1 on page 97 of 179”,Name: “Table 1 of 1 on page 97 of 179”,Name: “Table 1 of 1 on page 97 of 179”,Name: “Table 1 of 1 on page 97 of 179”,Name: “Table 1 of 1 on page 97 of 179”,Name: “Table 1 of 1 on page 97 of 179”,Name: “Table 1 of 1 on page 97 of 179”,Name: “Table 1 of 1 on page 97 of 179”
Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
Parish,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Ascension Parish,14,0,0,4.7,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Bossier Parish,24,0,0,8.0,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Caddo Parish,13,0,0,4.3,F,0,1,0,0.5,B,11.8,PASS
Calcasieu Parish,9,0,0,3.0,D,0,0,0,0.0,A,8.9,PASS
East Baton Rouge,,,,,,,,,,,,
Parish,21,0,0,7.0,F,2,0,0,0.7,B,10.2,PASS
Iberville Parish,20,0,0,6.7,F,0,0,0,0.0,A,10.0,PASS
Jefferson Parish,10,0,0,3.3,F,0,0,0,0.0,A,9.3,PASS
Lafayette Parish,6,0,0,2.0,C,1,0,0,0.3,B,9.1,PASS
Lafourche Parish,8,0,0,2.7,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Livingston Parish,9,0,0,3.0,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Orleans Parish,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Ouachita Parish,0,0,0,0.0,A,0,0,0,0.0,A,9.4,PASS
Pointe Coupee Parish,16,0,0,5.3,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Rapides Parish,DNC,DNC,DNC,DNC,DNC,1,0,0,0.3,B,8.8,PASS
St. Bernard Parish,9,0,0,3.0,D,1,0,0,0.3,B,10.4,PASS
St. Charles Parish,4,0,0,1.3,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
St. James Parish,4,0,0,1.3,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
St. John the Baptist,,,,,,,,,,,,
Parish,9,0,0,3.0,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC
St. Tammany Parish,10,0,0,3.3,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Tangipahoa Parish,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,9.0,PASS
Terrebonne Parish,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,8.4,PASS
West Baton Rouge,,,,,,,,,,,,
Parish,2,1,0,1.2,C,2,0,0,0.7,B,10.7,PASS
LOUISIANA,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,95
