Name: “Table 1 of 1 on page 111 of 179”,Name: “Table 1 of 1 on page 111 of 179”,Name: “Table 1 of 1 on page 111 of 179”,Name: “Table 1 of 1 on page 111 of 179”,Name: “Table 1 of 1 on page 111 of 179”,Name: “Table 1 of 1 on page 111 of 179”,Name: “Table 1 of 1 on page 111 of 179”,Name: “Table 1 of 1 on page 111 of 179”,Name: “Table 1 of 1 on page 111 of 179”,Name: “Table 1 of 1 on page 111 of 179”,Name: “Table 1 of 1 on page 111 of 179”,Name: “Table 1 of 1 on page 111 of 179”,Name: “Table 1 of 1 on page 111 of 179”
Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,Annual
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Adams,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC
Bolivar,9,0,0,3.0,D,INC,INC,INC,INC,INC,INC,INC
DeSoto,11,0,0,3.7,F,0,0,0,0.0,A,9.8,PASS
Forrest,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,11.6,PASS
Grenada,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,9.5,PASS
Hancock,1,0,0,0.3,B,0,0,0,0.0,A,9.6,PASS
Harrison,5,0,0,1.7,C,0,0,0,0.0,A,9.8,PASS
Hinds,4,0,0,1.3,C,1,0,0,0.3,B,11.0,PASS
Jackson,4,0,0,1.3,C,0,0,0,0.0,A,9.4,PASS
Jones,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,11.6,PASS
Lauderdale,0,0,0,0.0,A,0,0,0,0.0,A,10.8,PASS
Lee,1,0,0,0.3,B,0,0,0,0.0,A,10.7,PASS
Yalobusha,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
MISSISSIPPI,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,109
