Name: “Table 1 of 1 on page 65 of 179”,Name: “Table 1 of 1 on page 65 of 179”,Name: “Table 1 of 1 on page 65 of 179”,Name: “Table 1 of 1 on page 65 of 179”,Name: “Table 1 of 1 on page 65 of 179”,Name: “Table 1 of 1 on page 65 of 179”,Name: “Table 1 of 1 on page 65 of 179”,Name: “Table 1 of 1 on page 65 of 179”,Name: “Table 1 of 1 on page 65 of 179”,Name: “Table 1 of 1 on page 65 of 179”,Name: “Table 1 of 1 on page 65 of 179”,Name: “Table 1 of 1 on page 65 of 179”,Name: “Table 1 of 1 on page 65 of 179”
Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Fairfield,51,3,0,18.5,F,2,1,0,1.2,C,9.4,PASS
Hartford,13,0,0,4.3,F,2,0,0,0.7,B,8.8,PASS
Litchfield,6,0,0,2.0,C,0,0,0,0.0,A,5.7,PASS
Middlesex,23,1,0,8.2,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
New Haven,27,6,0,12.0,F,4,0,0,1.3,C,9.4,PASS
New London,19,1,0,6.8,F,0,0,0,0.0,A,8.1,PASS
Tolland,12,2,0,5.0,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Windham,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
CONNECTICUT,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,63
