Name: “Table 1 of 1 on page 81 of 179”,Name: “Table 1 of 1 on page 81 of 179”,Name: “Table 1 of 1 on page 81 of 179”,Name: “Table 1 of 1 on page 81 of 179”,Name: “Table 1 of 1 on page 81 of 179”,Name: “Table 1 of 1 on page 81 of 179”,Name: “Table 1 of 1 on page 81 of 179”,Name: “Table 1 of 1 on page 81 of 179”,Name: “Table 1 of 1 on page 81 of 179”,Name: “Table 1 of 1 on page 81 of 179”,Name: “Table 1 of 1 on page 81 of 179”,Name: “Table 1 of 1 on page 81 of 179”,Name: “Table 1 of 1 on page 81 of 179”
Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Ada,2,0,0,0.7,B,5,1,0,2.2,D,6.7,PASS
Bannock,DNC,DNC,DNC,DNC,DNC,2,2,0,1.7,C,6.6,PASS
Benewah,DNC,DNC,DNC,DNC,DNC,3,0,0,1.0,C,8.9,PASS
Butte,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Canyon,DNC,DNC,DNC,DNC,DNC,1,1,0,0.8,B,8.4,PASS
Cassia,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Franklin,DNC,DNC,DNC,DNC,DNC,11,5,0,6.2,F,INC,INC
Kootenai,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Lemhi,DNC,DNC,DNC,DNC,DNC,41,22,9,30.7,F,14.7,FAIL
Shoshone,DNC,DNC,DNC,DNC,DNC,43,1,0,14.8,F,12.1,FAIL
IDAHO,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,79
