Name: “Table 1 of 1 on page 56 of 179”,Name: “Table 1 of 1 on page 56 of 179”,Name: “Table 1 of 1 on page 56 of 179”,Name: “Table 1 of 1 on page 56 of 179”,Name: “Table 1 of 1 on page 56 of 179”,Name: “Table 1 of 1 on page 56 of 179”,Name: “Table 1 of 1 on page 56 of 179”,Name: “Table 1 of 1 on page 56 of 179”,Name: “Table 1 of 1 on page 56 of 179”,Name: “Table 1 of 1 on page 56 of 179”,Name: “Table 1 of 1 on page 56 of 179”
Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53
,,,,,,,,,,
,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,54
ARKANSAS,ARKANSAS,,,,,,,,,
American Lung Association in Arkansas,American Lung Association in Arkansas,,,,,,,,,
"217 W 2nd Street, Suite 105",,,,,AT-RISK GROUPS,AT-RISK GROUPS,AT-RISK GROUPS,,,
"Little Rock, AR 72201",,,,,,,,,,
(501) 975-0758,,,,,Lung Diseases,Lung Diseases,Lung Diseases,,,
www.lung.org/arkansas,,,,,,,,,,
,,,,,,,,Cardio-,,
,,Total,,65 &,Pediatric,Adult,,vascular,,
,County,Population,Under 18,Over,Asthma,Asthma,COPD,Disease,Diabetes,Poverty
,Arkansas,"18,892","4,372","3,146",384,"1,288","1,339","1,757","1,735","3,420"
,Ashley,"21,524","5,152","3,692",453,"1,452","1,515","2,002","1,966","4,315"
,Clark,"22,936","4,455","3,500",392,"1,592","1,524","1,979","1,946","5,343"
,Crittenden,"50,021","14,227","5,723","1,251","3,131","3,046","3,839","3,897","11,851"
,Faulkner,"118,704","28,562","12,484","2,511","7,719","7,044","8,751","8,893","16,451"
,Garland,"96,903","20,316","20,667","1,786","6,833","7,408","10,066","9,681","18,889"
,Jackson,"17,600","3,628","2,869",319,"1,231","1,252","1,633","1,616","4,151"
,Newton,"8,086","1,639","1,824",144,581,647,883,849,"2,169"
,Phillips,"20,784","5,757","3,224",506,"1,332","1,381","1,810","1,789","8,008"
,Polk,"20,471","4,766","4,224",419,"1,405","1,532","2,077","2,003","4,655"
,Pope,"62,765","14,268","8,593","1,255","4,214","4,085","5,234","5,225","10,523"
,Pulaski,"388,953","92,765","49,155","8,156","25,839","25,090","31,806","32,089","70,751"
,Sebastian,"127,304","31,842","17,417","2,800","8,363","8,286","10,635","10,641","25,049"
,Union,"40,867","9,774","6,578",859,"2,755","2,847","3,724","3,686","8,025"
,Van Buren,"17,030","3,394","4,076",298,"1,226","1,372","1,892","1,803","3,315"
,Washington,"211,411","53,848","21,651","4,735","13,457","12,189","15,136","15,365","39,193"
,White,"78,493","18,693","11,400","1,644","5,213","5,136","6,646","6,590","14,564"
,Totals,"1,322,744","317,458","180,223","27,912","87,632","85,693","109,870","109,774","250,672"
