Name: “Table 1 of 1 on page 133 of 179”,Name: “Table 1 of 1 on page 133 of 179”,Name: “Table 1 of 1 on page 133 of 179”,Name: “Table 1 of 1 on page 133 of 179”,Name: “Table 1 of 1 on page 133 of 179”,Name: “Table 1 of 1 on page 133 of 179”,Name: “Table 1 of 1 on page 133 of 179”,Name: “Table 1 of 1 on page 133 of 179”,Name: “Table 1 of 1 on page 133 of 179”,Name: “Table 1 of 1 on page 133 of 179”,Name: “Table 1 of 1 on page 133 of 179”,Name: “Table 1 of 1 on page 133 of 179”,Name: “Table 1 of 1 on page 133 of 179”
Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Lincoln,12,0,0,4.0,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
McDowell,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,9.7,PASS
Macon,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Martin,2,0,0,0.7,B,0,0,0,0.0,A,8.5,PASS
Mecklenburg,38,1,0,13.2,F,0,0,0,0.0,A,10.9,PASS
Mitchell,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,9.0,PASS
Montgomery,INC,INC,INC,INC,INC,0,0,0,0.0,A,9.0,PASS
New Hanover,2,0,0,0.7,B,1,0,0,0.3,B,7.7,PASS
Person,8,0,0,2.7,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Pitt,4,1,0,1.8,C,0,0,0,0.0,A,8.4,PASS
Robeson,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,9.8,PASS
Rockingham,9,0,0,3.0,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Rowan,29,1,0,10.2,F,0,0,0,0.0,A,10.1,PASS
Swain,0,0,0,0.0,A,0,0,0,0.0,A,9.6,PASS
Union,4,1,0,1.8,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Wake,13,0,0,4.3,F,0,1,0,0.5,B,10.0,PASS
Watauga,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,8.1,PASS
Wayne,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,9.6,PASS
Yancey,6,0,0,2.0,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
NORTH CAROLINA,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,131
