Name: “Table 1 of 1 on page 113 of 179”,Name: “Table 1 of 1 on page 113 of 179”,Name: “Table 1 of 1 on page 113 of 179”,Name: “Table 1 of 1 on page 113 of 179”,Name: “Table 1 of 1 on page 113 of 179”,Name: “Table 1 of 1 on page 113 of 179”,Name: “Table 1 of 1 on page 113 of 179”,Name: “Table 1 of 1 on page 113 of 179”,Name: “Table 1 of 1 on page 113 of 179”,Name: “Table 1 of 1 on page 113 of 179”,Name: “Table 1 of 1 on page 113 of 179”,Name: “Table 1 of 1 on page 113 of 179”,Name: “Table 1 of 1 on page 113 of 179”
Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Andrew,10,0,0,3.3,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Boone,6,0,0,2.0,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Buchanan,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,INC,INC
Callaway,4,0,0,1.3,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Cass,12,0,0,4.0,F,0,0,0,0.0,A,11.1,PASS
Cedar,18,0,0,6.0,F,0,0,0,0.0,A,11.0,PASS
Clay,35,1,0,12.2,F,0,0,0,0.0,A,9.5,PASS
Clinton,29,0,0,9.7,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Greene,9,0,0,3.0,D,1,0,0,0.3,B,10.3,PASS
Jackson,DNC,DNC,DNC,DNC,DNC,2,0,0,0.7,B,10.3,PASS
Jasper,22,0,0,7.3,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Jefferson,24,2,0,9.0,F,1,0,0,0.3,B,10.1,PASS
Lincoln,25,0,0,8.3,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Monroe,4,0,0,1.3,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Perry,22,0,0,7.3,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
St. Charles,46,2,0,16.3,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Ste. Genevieve,8,1,0,3.2,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC
St. Louis,41,0,0,13.7,F,3,0,0,1.0,C,10.9,PASS
Taney,3,0,0,1.0,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
St. Louis City,26,1,0,9.2,F,3,1,0,1.5,C,11.7,PASS
MISSOURI,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,111
