Name: “Table 1 of 1 on page 25 of 179”,Name: “Table 1 of 1 on page 25 of 179”,Name: “Table 1 of 1 on page 25 of 179”,Name: “Table 1 of 1 on page 25 of 179”,Name: “Table 1 of 1 on page 25 of 179”,Name: “Table 1 of 1 on page 25 of 179”,Name: “Table 1 of 1 on page 25 of 179”
Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22
,,,,,,
Cleanest Counties for Short-term Particle Pollution (24-hour PM2.5) 1 (cont.),Cleanest Counties for Short-term Particle Pollution (24-hour PM2.5) 1 (cont.),Cleanest Counties for Short-term Particle Pollution (24-hour PM2.5) 1 (cont.),Cleanest Counties for Short-term Particle Pollution (24-hour PM2.5) 1 (cont.),,,
County,State,MSAs and Respective CSA2,County,State,MSAs and Respective CSA2,
Lauderdale,MS,,Hall,NE,"Grand Island, NE",
Lee,MS,,Scotts Bluff,NE,,
Flathead,MT,,Belknap,NH,"Boston-Worcester-Providence, MA-RI-NH-CT",
Powder River,MT,,Grafton,NH,,
Richland,MT,,Hillsborough,NH,"Boston-Worcester-Providence, MA-RI-NH-CT",
Buncombe,NC,"Asheville-Brevard, NC",Atlantic,NJ,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",
Caswell,NC,,Camden,NJ,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",
Catawba,NC,"Hickory-Lenoir, NC",Essex,NJ,"New York-Newark, NY-NJ-CT-PA",
Chatham,NC,"Raleigh-Durham-Chapel Hill, NC",Gloucester,NJ,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",
Cumberland,NC,"Fayetteville-Lumberton-Laurinburg, NC",Middlesex,NJ,"New York-Newark, NY-NJ-CT-PA",
Davidson,NC,"Greensboro-Winston-Salem-High Point, NC",Ocean,NJ,"New York-Newark, NY-NJ-CT-PA",
Durham,NC,"Raleigh-Durham-Chapel Hill, NC",San Juan,NM,"Farmington, NM",
Edgecombe,NC,"Rocky Mount-Wilson-Roanoke Rapids, NC",Chautauqua,NY,,
Forsyth,NC,"Greensboro-Winston-Salem-High Point, NC",Essex,NY,,
Gaston,NC,"Charlotte-Concord, NC-SC",Niagara,NY,"Buffalo-Cheektowaga, NY",
Guilford,NC,"Greensboro-Winston-Salem-High Point, NC",Onondaga,NY,"Syracuse-Auburn, NY",
Haywood,NC,"Asheville-Brevard, NC",Steuben,NY,"Elmira-Corning, NY",
Jackson,NC,,Suffolk,NY,"New York-Newark, NY-NJ-CT-PA",
Martin,NC,,Allen,OH,"Lima-Van Wert-Celina, OH",
McDowell,NC,"Hickory-Lenoir, NC",Athens,OH,,
Mecklenburg,NC,"Charlotte-Concord, NC-SC",Clark,OH,"Dayton-Springfield-Sidney, OH",
Mitchell,NC,,Greene,OH,"Dayton-Springfield-Sidney, OH",
Montgomery,NC,,Lake,OH,"Cleveland-Akron-Canton, OH",
Pitt,NC,"Greenville-Washington, NC",Lawrence,OH,"Charleston-Huntington-Ashland, WV-OH-KY",
Robeson,NC,"Fayetteville-Lumberton-Laurinburg, NC",Medina,OH,"Cleveland-Akron-Canton, OH",
Rowan,NC,"Charlotte-Concord, NC-SC",Portage,OH,"Cleveland-Akron-Canton, OH",
Swain,NC,,Scioto,OH,"Charleston-Huntington-Ashland, WV-OH-KY",
Watauga,NC,,Trumbull,OH,"Youngstown-Warren, OH-PA",
Wayne,NC,"Goldsboro, NC",Adair,OK,,
Billings,ND,,Oklahoma,OK,"Oklahoma City-Shawnee, OK",
Burke,ND,,Sequoyah,OK,"Fort Smith, AR-OK",
Burleigh,ND,"Bismarck, ND",Tulsa,OK,"Tulsa-Muskogee-Bartlesville, OK",
Cass,ND,"Fargo-Wahpeton, ND-MN",Linn,OR,"Portland-Vancouver-Salem, OR-WA",
McKenzie,ND,,Umatilla,OR,,
Mercer,ND,,Monroe,PA,"New York-Newark, NY-NJ-CT-PA",
Notes:,,,,,,
1.,This list represents counties with the lowest levels of short term PM2.5 air pollution. Monitors in these counties reported no days with unhealthful PM2.5 levels.,This list represents counties with the lowest levels of short term PM2.5 air pollution. Monitors in these counties reported no days with unhealthful PM2.5 levels.,This list represents counties with the lowest levels of short term PM2.5 air pollution. Monitors in these counties reported no days with unhealthful PM2.5 levels.,,,
2.,MSA and CSA are terms used by the U.S. Office of Management and Budget for statistical purposes. MSA stands for Metropolitan Statistical Area. CSA stands,MSA and CSA are terms used by the U.S. Office of Management and Budget for statistical purposes. MSA stands for Metropolitan Statistical Area. CSA stands,MSA and CSA are terms used by the U.S. Office of Management and Budget for statistical purposes. MSA stands for Metropolitan Statistical Area. CSA stands,,,
,"for Combined Statistical Area, which may include multiples and individual counties.","for Combined Statistical Area, which may include multiples and individual counties.",,,,
,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,23
