Name: “Table 1 of 1 on page 101 of 179”,Name: “Table 1 of 1 on page 101 of 179”,Name: “Table 1 of 1 on page 101 of 179”,Name: “Table 1 of 1 on page 101 of 179”,Name: “Table 1 of 1 on page 101 of 179”,Name: “Table 1 of 1 on page 101 of 179”,Name: “Table 1 of 1 on page 101 of 179”,Name: “Table 1 of 1 on page 101 of 179”,Name: “Table 1 of 1 on page 101 of 179”,Name: “Table 1 of 1 on page 101 of 179”,Name: “Table 1 of 1 on page 101 of 179”,Name: “Table 1 of 1 on page 101 of 179”,Name: “Table 1 of 1 on page 101 of 179”
Table: 98,Table: 98,Table: 98,Table: 98,Table: 98,Table: 98,Table: 98,Table: 98,Table: 98,Table: 98,Table: 98,Table: 98,Table: 98
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Anne Arundel,30,5,0,12.5,F,1,0,0,0.3,B,10.7,PASS
Baltimore,43,3,0,15.8,F,1,0,0,0.3,B,11.0,PASS
Calvert,22,3,0,8.8,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Carroll,14,0,0,4.7,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Cecil,30,1,0,10.5,F,1,0,0,0.3,B,10.4,PASS
Charles,21,2,0,8.0,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Dorchester,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC
Frederick,18,0,0,6.0,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Garrett,13,0,0,4.3,F,1,0,0,0.3,B,INC,INC
Harford,48,10,0,21.0,F,0,0,0,0.0,A,10.3,PASS
Kent,27,3,0,10.5,F,1,0,0,0.3,B,INC,INC
Montgomery,12,0,0,4.0,F,1,0,0,0.3,B,10.5,PASS
Prince George’s,52,1,0,17.8,F,3,1,0,1.5,C,10.5,PASS
Washington,11,0,0,3.7,F,3,0,0,1.0,C,11.3,PASS
Worcester,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Baltimore City,11,1,0,4.2,F,7,0,0,2.3,D,11.1,PASS
MARYLAND,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,99
