Name: “Table 1 of 1 on page 89 of 179”,Name: “Table 1 of 1 on page 89 of 179”,Name: “Table 1 of 1 on page 89 of 179”,Name: “Table 1 of 1 on page 89 of 179”,Name: “Table 1 of 1 on page 89 of 179”,Name: “Table 1 of 1 on page 89 of 179”,Name: “Table 1 of 1 on page 89 of 179”,Name: “Table 1 of 1 on page 89 of 179”,Name: “Table 1 of 1 on page 89 of 179”,Name: “Table 1 of 1 on page 89 of 179”,Name: “Table 1 of 1 on page 89 of 179”,Name: “Table 1 of 1 on page 89 of 179”,Name: “Table 1 of 1 on page 89 of 179”
Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Black Hawk,DNC,DNC,DNC,DNC,DNC,3,0,0,1.0,C,10.4,PASS
Bremer,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Clinton,4,0,0,1.3,C,7,0,0,2.3,D,11.5,PASS
Delaware,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC
Harrison,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Johnson,DNC,DNC,DNC,DNC,DNC,3,0,0,1.0,C,10.5,PASS
Lee,DNC,DNC,DNC,DNC,DNC,2,0,0,0.7,B,11.4,PASS
Linn,1,0,0,0.3,B,5,0,0,1.7,C,10.3,PASS
Montgomery,0,0,0,0.0,A,0,0,0,0.0,A,9.2,PASS
Muscatine,DNC,DNC,DNC,DNC,DNC,17,4,0,7.7,F,12.2,FAIL
Palo Alto,1,0,0,0.3,B,1,0,0,0.3,B,8.8,PASS
Polk,0,0,0,0.0,A,3,0,0,1.0,C,9.7,PASS
Pottawattamie,DNC,DNC,DNC,DNC,DNC,1,0,0,0.3,B,11.1,PASS
Scott,1,0,0,0.3,B,5,0,0,1.7,C,11.3,PASS
Story,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Tama,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC
Van Buren,2,0,0,0.7,B,1,0,0,0.3,B,9.6,PASS
Warren,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Woodbury,DNC,DNC,DNC,DNC,DNC,1,0,0,0.3,B,9.9,PASS
IOWA,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,87
