Name: “Table 1 of 1 on page 50 of 179”,Name: “Table 1 of 1 on page 50 of 179”,Name: “Table 1 of 1 on page 50 of 179”,Name: “Table 1 of 1 on page 50 of 179”,Name: “Table 1 of 1 on page 50 of 179”,Name: “Table 1 of 1 on page 50 of 179”,Name: “Table 1 of 1 on page 50 of 179”,Name: “Table 1 of 1 on page 50 of 179”,Name: “Table 1 of 1 on page 50 of 179”,Name: “Table 1 of 1 on page 50 of 179”,Name: “Table 1 of 1 on page 50 of 179”
Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47
,,,,,,,,,,
,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,48
ALABAMA,ALABAMA,,,,,,,,,
American Lung Association in Alabama,American Lung Association in Alabama,,,,,,,,,
P.O. Box 661465,,,,,AT-RISK GROUPS,AT-RISK GROUPS,AT-RISK GROUPS,,,
"Birmingham, AL 35226",,,,,,,,,,
(205) 968-2266,,,,,Lung Diseases,Lung Diseases,Lung Diseases,,,
www.lung.org/alabama,,,,,,,,,,
,,,,,,,,Cardio-,,
,,Total,,65 &,Pediatric,Adult,,vascular,,
,County,Population,Under 18,Over,Asthma,Asthma,COPD,Disease,Diabetes,Poverty
,Baldwin,"190,790","43,087","33,827","4,848","12,665","15,429","19,153","19,601","26,177"
,Clay,"13,435","2,978","2,486",335,897,"1,110","1,388","1,418","2,521"
,Colbert,"54,446","11,861","9,687","1,335","3,653","4,448","5,516","5,650","8,714"
,DeKalb,"71,080","18,032","10,524","2,029","4,548","5,286","6,397","6,601","12,711"
,Elmore,"80,629","18,547","10,449","2,087","5,333","5,979","7,041","7,359","10,396"
,Etowah,"104,392","23,833","17,083","2,682","6,911","8,235","10,085","10,377","21,508"
,Houston,"103,402","25,012","15,745","2,814","6,725","7,873","9,549","9,856","19,414"
,Jefferson,"660,009","154,843","89,599","17,422","43,363","49,132","58,349","60,732","120,153"
,Madison,"343,080","79,154","44,173","8,906","22,707","25,677","30,230","31,687","42,183"
,Mobile,"413,936","101,727","56,635","11,446","26,803","30,582","36,459","37,905","85,452"
,Montgomery,"230,149","56,385","28,617","6,344","14,888","16,341","19,152","19,959","48,003"
,Morgan,"120,395","28,515","18,034","3,208","7,892","9,246","11,174","11,573","19,176"
,Russell,"57,820","14,834","7,097","1,669","3,686","4,073","4,778","4,986","13,495"
,Shelby,"200,941","50,038","23,792","5,630","12,984","14,465","16,868","17,745","17,276"
,Sumter,"13,427","2,879","2,058",324,905,"1,049","1,267","1,309","4,608"
,Talladega,"81,762","18,822","12,400","2,118","5,407","6,348","7,676","7,951","18,298"
,Tuscaloosa,"198,596","42,180","22,137","4,746","13,355","13,786","15,725","16,427","36,795"
,Walker,"66,221","14,735","11,424","1,658","4,420","5,363","6,620","6,800","13,676"
,Totals,"3,004,510","707,462","415,767","79,600","197,142","224,423","267,427","277,936","520,556"
