Name: “Table 1 of 1 on page 139 of 179”,Name: “Table 1 of 1 on page 139 of 179”,Name: “Table 1 of 1 on page 139 of 179”,Name: “Table 1 of 1 on page 139 of 179”,Name: “Table 1 of 1 on page 139 of 179”,Name: “Table 1 of 1 on page 139 of 179”,Name: “Table 1 of 1 on page 139 of 179”,Name: “Table 1 of 1 on page 139 of 179”,Name: “Table 1 of 1 on page 139 of 179”,Name: “Table 1 of 1 on page 139 of 179”,Name: “Table 1 of 1 on page 139 of 179”,Name: “Table 1 of 1 on page 139 of 179”,Name: “Table 1 of 1 on page 139 of 179”
Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Noble,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Portage,3,0,0,1.0,C,0,0,0,0.0,A,10.3,PASS
Preble,9,0,0,3.0,D,1,0,0,0.3,B,10.7,PASS
Scioto,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,10.6,PASS
Stark,20,1,0,7.2,F,6,0,0,2.0,C,13.0,FAIL
Summit,11,0,0,3.7,F,6,0,0,2.0,C,12.0,PASS
Trumbull,15,1,0,5.5,F,0,0,0,0.0,A,10.6,PASS
Warren,19,0,0,6.3,F,INC,INC,INC,INC,INC,INC,INC
Washington,8,0,0,2.7,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Wood,8,0,0,2.7,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC
OHIO,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,137
