Name: “Table 1 of 1 on page 140 of 179”,Name: “Table 1 of 1 on page 140 of 179”,Name: “Table 1 of 1 on page 140 of 179”,Name: “Table 1 of 1 on page 140 of 179”,Name: “Table 1 of 1 on page 140 of 179”,Name: “Table 1 of 1 on page 140 of 179”,Name: “Table 1 of 1 on page 140 of 179”,Name: “Table 1 of 1 on page 140 of 179”,Name: “Table 1 of 1 on page 140 of 179”,Name: “Table 1 of 1 on page 140 of 179”,Name: “Table 1 of 1 on page 140 of 179”
Table: 137,Table: 137,Table: 137,Table: 137,Table: 137,Table: 137,Table: 137,Table: 137,Table: 137,Table: 137,Table: 137
,,,,,,,,,,
,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,138
OKLAHOMA,OKLAHOMA,,,,,,,,,
American Lung Association in Oklahoma,American Lung Association in Oklahoma,,,,,,,,,
"710 W. Wilshire Bldg 730, Ste 105",,,,,AT-RISK GROUPS,AT-RISK GROUPS,AT-RISK GROUPS,,,
"Oklahoma City, OK 73116",,,,,,,,,,
(405) 748-4674,,,,,Lung Diseases,Lung Diseases,Lung Diseases,,,
www.lung.org/oklahoma,,,,,,,,,,
,,,,,,,,Cardio-,,
,,Total,,65 &,Pediatric,Adult,,vascular,,
,County,Population,Under 18,Over,Asthma,Asthma,COPD,Disease,Diabetes,Poverty
,Adair,"22,286","6,102","3,060",522,"1,646","1,234","1,684","1,889","5,827"
,Caddo,"29,678","7,509","4,437",642,"2,252","1,704","2,356","2,618","5,908"
,Canadian,"122,560","32,470","14,084","2,777","9,169","6,487","8,534","9,823","10,007"
,Carter,"48,085","12,256","7,318","1,048","3,640","2,783","3,862","4,281","7,466"
,Cherokee,"48,150","11,392","6,912",974,"3,730","2,688","3,682","4,108","11,424"
,Cleveland,"265,638","59,773","29,310","5,112","20,923","13,897","18,013","20,886","31,533"
,Comanche,"126,390","31,212","13,176","2,669","9,670","6,314","8,145","9,468","20,248"
,Cotton,"6,155","1,453","1,071",124,478,382,542,592,"1,065"
,Creek,"70,651","17,249","11,327","1,475","5,428","4,257","5,941","6,567","11,027"
,Dewey,"4,783","1,174",930,100,366,304,442,475,594
,Jefferson,"6,377","1,503","1,229",129,494,407,590,635,"1,320"
,Kay,"45,831","11,473","8,012",981,"3,485","2,765","3,947","4,288","8,299"
,Lincoln,"34,189","8,445","5,628",722,"2,618","2,097","2,940","3,242","5,891"
,Love,"9,558","2,316","1,714",198,735,589,843,914,"1,505"
,Mayes,"41,168","10,479","6,680",896,"3,117","2,444","3,433","3,775","8,716"
,McClain,"35,613","9,378","4,960",802,"2,670","2,037","2,775","3,122","3,843"
,McCurtain,"33,203","8,615","5,397",737,"2,497","1,955","2,753","3,021","7,991"
,Muskogee,"70,596","17,523","10,710","1,499","5,390","4,073","5,644","6,259","14,632"
,Oklahoma,"741,781","188,490","90,226","16,121","56,243","39,472","52,451","59,851","138,561"
,Osage,"47,917","11,119","8,290",951,"3,740","3,021","4,262","4,678","7,132"
,Ottawa,"32,236","7,948","5,580",680,"2,462","1,918","2,736","2,972","7,265"
,Pittsburg,"45,048","10,029","7,806",858,"3,554","2,784","3,936","4,306","8,311"
,Sequoyah,"41,398","10,294","6,604",880,"3,160","2,455","3,432","3,786","9,344"
,Tulsa,"613,816","156,081","76,929","13,349","46,539","33,195","44,339","50,442","96,205"
,Totals,"2,543,107","634,283","331,390","54,247","194,005","139,262","187,281","211,999","424,114"
