Name: “Table 1 of 1 on page 109 of 179”,Name: “Table 1 of 1 on page 109 of 179”,Name: “Table 1 of 1 on page 109 of 179”,Name: “Table 1 of 1 on page 109 of 179”,Name: “Table 1 of 1 on page 109 of 179”,Name: “Table 1 of 1 on page 109 of 179”,Name: “Table 1 of 1 on page 109 of 179”,Name: “Table 1 of 1 on page 109 of 179”,Name: “Table 1 of 1 on page 109 of 179”,Name: “Table 1 of 1 on page 109 of 179”,Name: “Table 1 of 1 on page 109 of 179”,Name: “Table 1 of 1 on page 109 of 179”,Name: “Table 1 of 1 on page 109 of 179”
Table: 106,Table: 106,Table: 106,Table: 106,Table: 106,Table: 106,Table: 106,Table: 106,Table: 106,Table: 106,Table: 106,Table: 106,Table: 106
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Anoka,2,1,0,1.2,C,2,0,0,0.7,B,8.5,PASS
Becker,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Carlton,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Cass,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC
Crow Wing,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Dakota,DNC,DNC,DNC,DNC,DNC,2,0,0,0.7,B,9.0,PASS
Goodhue,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Hennepin,DNC,DNC,DNC,DNC,DNC,2,0,0,0.7,B,9.0,PASS
Lake,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Lyon,0,0,0,0.0,A,INC,INC,INC,INC,INC,INC,INC
Mille Lacs,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Olmsted,0,0,0,0.0,A,1,0,0,0.3,B,9.0,PASS
Ramsey,DNC,DNC,DNC,DNC,DNC,4,0,0,1.3,C,9.7,PASS
St. Louis,0,0,0,0.0,A,1,0,0,0.3,B,5.5,PASS
Scott,1,0,0,0.3,B,1,0,0,0.3,B,8.6,PASS
Stearns,0,0,0,0.0,A,3,0,0,1.0,C,8.5,PASS
Washington,1,0,0,0.3,B,INC,INC,INC,INC,INC,INC,INC
Wright,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
MINNESOTA,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,107
