Name: “Table 1 of 1 on page 21 of 179”,Name: “Table 1 of 1 on page 21 of 179”,Name: “Table 1 of 1 on page 21 of 179”,Name: “Table 1 of 1 on page 21 of 179”,Name: “Table 1 of 1 on page 21 of 179”,Name: “Table 1 of 1 on page 21 of 179”
Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18
,,,,,
Cleanest U.S. Cities for Short-term Particle Pollution (24-hour PM2.5) 1,Cleanest U.S. Cities for Short-term Particle Pollution (24-hour PM2.5) 1,Cleanest U.S. Cities for Short-term Particle Pollution (24-hour PM2.5) 1,,,
Metropolitan Statistical Area,Population,Metropolitan Statistical Area,Population,Metropolitan Statistical Area,Population
"Asheville-Brevard, NC","465,255","Grand Island, NE","83,472","Oklahoma City-Shawnee, OK","1,367,325"
"Austin-Round Rock, TX","1,834,303","Greenville-Washington, NC","220,061","Owensboro, KY","116,030"
"Bangor, ME","153,746","Gulfport-Biloxi-Pascagoula, MS","379,582","Paducah-Mayfield, KY-IL","136,083"
"Beckley, WV","124,890","Hattiesburg, MS","146,766","Palm Bay-Melbourne-Titusville, FL","547,307"
"Bismarck, ND","120,060","Hickory-Lenoir, NC","408,625","Pensacola-Ferry Pass-Brent, FL","461,227"
"Bloomington-Bedford, IN","208,477","Homosassa Springs, FL","139,360","Peoria-Canton, IL","417,098"
"Bowling Green-Glasgow, KY","214,831","Hot Springs-Malvern, AR","130,297","Prescott, AZ","212,637"
"Brownsville-Harlingen-Raymondville, TX","437,615","Houma-Thibodaux, LA","208,922","Pueblo-Cañon City, CO","207,640"
"Cape Coral-Fort Myers-Naples, FL","977,720","Houston-The Woodlands, TX","6,371,677","Quincy-Hannibal, IL-MO","116,393"
"Champaign-Urbana, IL","233,788","Huntsville-Decatur-Albertville, AL","679,743","Richmond, VA","1,231,980"
"Charlotte-Concord, NC-SC","2,454,619","Jackson, TN","130,450","Roanoke, VA","310,118"
"Clarksville, TN-KY","274,342","Kahului-Wailuku-Lahaina, HI","158,316","Rocky Mount-Wilson-Roanoke Rapids, NC","308,963"
"Colorado Springs, CO","668,353","Kalamazoo-Battle Creek-Portage, MI","525,929","Salinas, CA","426,762"
"Decatur, IL","110,122","Lake Charles, LA","201,195","Salisbury, MD-DE","381,868"
"Eau Claire-Menomonie, WI","207,671","Lakeland-Winter Haven, FL","616,158","San Antonio-New Braunfels, TX","2,234,003"
"Elmira-Corning, NY","187,974","Lansing-East Lansing-Owosso, MI","534,964","Santa Maria-Santa Barbara, CA","431,249"
"Fargo-Wahpeton, ND-MN","239,114","Lima-Van Wert-Celina, OH","220,591","Sierra Vista-Douglas, AZ","132,088"
"Farmington, NM","128,529","Lynchburg, VA","255,342","Springfield-Jacksonville-Lincoln, IL","317,206"
"Fayetteville-Lumberton-Laurinburg, NC","546,175","Macon-Warner Robins, GA","418,201","St. George, UT","144,809"
"Fayetteville-Springdale-Rogers, AR-MO","482,200","McAllen-Edinburg, TX","868,167","Syracuse-Auburn, NY","740,486"
"Flagstaff, AZ","136,011","Mobile-Daphne-Fairhope, AL","604,726","Tallahassee-Bainbridge, FL-GA","402,880"
"Florence, SC","206,087","Monroe-Ruston-Bastrop, LA","252,294","Tampa-St. Petersburg-Clearwater, FL","2,842,878"
"Florence-Muscle Shoals, AL","146,988","Montgomery, AL","377,149","Texarkana, TX-AR","149,701"
"Fort Collins, CO","310,487","Morgantown-Fairmont, WV","190,842","Tulsa-Muskogee-Bartlesville, OK","1,122,259"
"Fort Smith, AR-OK","280,521","Nashville-Davidson—Murfreesboro, TN","1,845,235","Wichita-Arkansas City-Winfield, KS","672,393"
"Goldsboro, NC","124,246","North Port-Sarasota, FL","917,203","Yuma, AZ","200,022"
Note:,,,,,
1.	This list represents cities with the lowest levels of short term PM2.5 air pollution. Monitors in these cities reported no days with unhealthful PM2.5 levels.,1.	This list represents cities with the lowest levels of short term PM2.5 air pollution. Monitors in these cities reported no days with unhealthful PM2.5 levels.,1.	This list represents cities with the lowest levels of short term PM2.5 air pollution. Monitors in these cities reported no days with unhealthful PM2.5 levels.,,,
,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,19
