Name: “Table 1 of 1 on page 121 of 179”,Name: “Table 1 of 1 on page 121 of 179”,Name: “Table 1 of 1 on page 121 of 179”,Name: “Table 1 of 1 on page 121 of 179”,Name: “Table 1 of 1 on page 121 of 179”,Name: “Table 1 of 1 on page 121 of 179”,Name: “Table 1 of 1 on page 121 of 179”,Name: “Table 1 of 1 on page 121 of 179”,Name: “Table 1 of 1 on page 121 of 179”,Name: “Table 1 of 1 on page 121 of 179”,Name: “Table 1 of 1 on page 121 of 179”,Name: “Table 1 of 1 on page 121 of 179”,Name: “Table 1 of 1 on page 121 of 179”
Table: 118,Table: 118,Table: 118,Table: 118,Table: 118,Table: 118,Table: 118,Table: 118,Table: 118,Table: 118,Table: 118,Table: 118,Table: 118
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Belknap,1,0,0,0.3,B,0,0,0,0.0,A,6.0,PASS
Cheshire,0,0,0,0.0,A,6,0,0,2.0,C,9.1,PASS
Coos,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Grafton,0,0,0,0.0,A,0,0,0,0.0,A,6.8,PASS
Hillsborough,8,0,0,2.7,D,0,0,0,0.0,A,7.9,PASS
Merrimack,1,0,0,0.3,B,1,0,0,0.3,B,8.7,PASS
Rockingham,6,0,0,2.0,C,0,1,0,0.5,B,7.7,PASS
NEW HAMPSHIRE,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,119
