Name: “Table 1 of 1 on page 26 of 179”,Name: “Table 1 of 1 on page 26 of 179”,Name: “Table 1 of 1 on page 26 of 179”,Name: “Table 1 of 1 on page 26 of 179”,Name: “Table 1 of 1 on page 26 of 179”,Name: “Table 1 of 1 on page 26 of 179”,Name: “Table 1 of 1 on page 26 of 179”
Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23
,,,,,,
,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,24
Cleanest Counties for Short-term Particle Pollution (24-hour PM2.5) 1 (cont.),Cleanest Counties for Short-term Particle Pollution (24-hour PM2.5) 1 (cont.),Cleanest Counties for Short-term Particle Pollution (24-hour PM2.5) 1 (cont.),Cleanest Counties for Short-term Particle Pollution (24-hour PM2.5) 1 (cont.),,,
County,State,MSAs and Respective CSA2,County,State,MSAs and Respective CSA2,
Kent,RI,"Boston-Worcester-Providence, MA-RI-NH-CT",Chesterfield,VA,"Richmond, VA",
Chesterfield,SC,,Frederick,VA,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Florence,SC,"Florence, SC",Henrico,VA,"Richmond, VA",
Richland,SC,"Columbia-Orangeburg-Newberry, SC",Lynchburg City,VA,"Lynchburg, VA",
Spartanburg,SC,"Greenville-Spartanburg-Anderson, SC",Page,VA,,
Brookings,SD,,Roanoke City,VA,"Roanoke, VA",
Brown,SD,,Salem City,VA,"Roanoke, VA",
Codington,SD,,Bennington,VT,,
Jackson,SD,,Ashland,WI,,
Pennington,SD,"Rapid City-Spearfish, SD",Eau Claire,WI,"Eau Claire-Menomonie, WI",
Blount,TN,"Knoxville-Morristown-Sevierville, TN",Forest,WI,,
Davidson,TN,"Nashville-Davidson—Murfreesboro, TN",Ozaukee,WI,"Milwaukee-Racine-Waukesha, WI",
Dyer,TN,,Vilas,WI,,
Lawrence,TN,"Nashville-Davidson—Murfreesboro, TN",Hancock,WV,"Pittsburgh-New Castle-Weirton, PA-OH-WV",
Loudon,TN,"Knoxville-Morristown-Sevierville, TN",Kanawha,WV,"Charleston-Huntington-Ashland, WV-OH-KY",
Madison,TN,"Jackson, TN",Marion,WV,"Morgantown-Fairmont, WV",
Maury,TN,"Nashville-Davidson—Murfreesboro, TN",Monongalia,WV,"Morgantown-Fairmont, WV",
McMinn,TN,"Chattanooga-Cleveland-Dalton, TN-GA-AL",Ohio,WV,"Wheeling, WV-OH",
Montgomery,TN,"Clarksville, TN-KY",Raleigh,WV,"Beckley, WV",
Putnam,TN,,Albany,WY,,
Roane,TN,"Knoxville-Morristown-Sevierville, TN",Park,WY,,
Sumner,TN,"Nashville-Davidson—Murfreesboro, TN",Sheridan,WY,,
Bexar,TX,"San Antonio-New Braunfels, TX",,,,
Bowie,TX,"Texarkana, TX-AR",,,,
Cameron,TX,"Brownsville-Harlingen-Raymondville, TX",,,,
Dallas,TX,"Dallas-Fort Worth, TX-OK",,,,
Ellis,TX,"Dallas-Fort Worth, TX-OK",,,,
Harris,TX,"Houston-The Woodlands, TX",,,,
Hidalgo,TX,"McAllen-Edinburg, TX",,,,
Travis,TX,"Austin-Round Rock, TX",,,,
Washington,UT,"St. George, UT",,,,
Arlington,VA,"Washington-Baltimore-Arlington,",,,,
,,DC-MD-VA-WV-PA,,,,
Bristol City,VA,"Johnson City-Kingsport-Bristol, TN-VA",,,,
Charles City,VA,"Richmond, VA",,,,
Notes:,,,,,,
1.,This list represents counties with the lowest levels of short term PM2.5 air pollution. Monitors in these counties reported no days with unhealthful PM2.5 levels.,This list represents counties with the lowest levels of short term PM2.5 air pollution. Monitors in these counties reported no days with unhealthful PM2.5 levels.,This list represents counties with the lowest levels of short term PM2.5 air pollution. Monitors in these counties reported no days with unhealthful PM2.5 levels.,,,
2.,MSA and CSA are terms used by the U.S. Office of Management and Budget for statistical purposes. MSA stands for Metropolitan Statistical Area. CSA stands,MSA and CSA are terms used by the U.S. Office of Management and Budget for statistical purposes. MSA stands for Metropolitan Statistical Area. CSA stands,MSA and CSA are terms used by the U.S. Office of Management and Budget for statistical purposes. MSA stands for Metropolitan Statistical Area. CSA stands,,,
,"for Combined Statistical Area, which may include multiples and individual counties.","for Combined Statistical Area, which may include multiples and individual counties.",,,,
