Name: “Table 1 of 1 on page 29 of 179”,Name: “Table 1 of 1 on page 29 of 179”,Name: “Table 1 of 1 on page 29 of 179”,Name: “Table 1 of 1 on page 29 of 179”,Name: “Table 1 of 1 on page 29 of 179”,Name: “Table 1 of 1 on page 29 of 179”,Name: “Table 1 of 1 on page 29 of 179”
Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26
,,,,,,
Cleanest Counties for Ozone Air Pollution1 (cont.),Cleanest Counties for Ozone Air Pollution1 (cont.),Cleanest Counties for Ozone Air Pollution1 (cont.),Cleanest Counties for Ozone Air Pollution1 (cont.),,,
County,State,Metropolitan Statistical Area,County,State,Metropolitan Statistical Area,
Franklin,NY,,Rockbridge,VA,,
Herkimer,NY,"Utica-Rome, NY",Chittenden,VT,"Burlington-South Burlington, VT",
Oneida,NY,"Utica-Rome, NY",Clallam,WA,,
Saratoga,NY,"Albany-Schenectady, NY",Clark,WA,"Portland-Vancouver-Salem,",
,,,,,OR-WA,
Steuben,NY,"Elmira-Corning, NY",,,,
,,,Pierce,WA,"Seattle-Tacoma, WA",
Columbia,OR,Portland-Vancouver-,,,,
,,"Salem, OR-WA",Skagit,WA,"Seattle-Tacoma, WA",
Deschutes,OR,"Bend-Redmond-Prineville, OR",Spokane,WA,Spokane-Spokane Valley-,
,,,,,"Coeur d’Alene, WA-ID",
Jackson,OR,"Medford-Grants Pass, OR",,,,
,,,Whatcom,WA,"Bellingham, WA",
Lane,OR,"Eugene, OR",,,,
,,,Ashland,WI,,
Umatilla,OR,,,,,
,,,La Crosse,WI,"La Crosse-Onalaska, WI-MN",
Washington,OR,Portland-Vancouver-,,,,
,,"Salem, OR-WA",Marathon,WI,Wausau-Stevens Point-,
,,,,,"Wisconsin Rapids, WI",
Aiken,SC,"Augusta-Richmond County,",,,,
,,GA-SC,Vilas,WI,,
Berkeley,SC,"Charleston-North Charleston, SC",Big Horn,WY,,
Charleston,SC,"Charleston-North Charleston, SC",Carbon,WY,,
Colleton,SC,,Sweetwater,WY,,
Edgefield,SC,"Augusta-Richmond County,",Teton,WY,,
,,GA-SC,,,,
,,,Uinta,WY,,
Brookings,SD,,,,,
Custer,SD,"Rapid City-Spearfish, SD",,,,
Jackson,SD,,,,,
Meade,SD,"Rapid City-Spearfish, SD",,,,
Minnehaha,SD,"Sioux Falls, SD",,,,
Union,SD,"Sioux City-Vermillion, IA-SD-NE",,,,
Cameron,TX,Brownsville-Harlingen-,,,,
,,"Raymondville, TX",,,,
Hidalgo,TX,"McAllen-Edinburg, TX",,,,
Webb,TX,"Laredo, TX",,,,
Cache,UT,"Logan, UT-ID",,,,
Fauquier,VA,Washington-Baltimore-,,,,
,,"Arlington, DC-MD-VA-WV-PA",,,,
Page,VA,,,,,
Note:,,,,,,
1.,This list represents counties with no monitored ozone air pollution in unhealthful ranges using the Air Quality Index based on 2008 NAAQS.,This list represents counties with no monitored ozone air pollution in unhealthful ranges using the Air Quality Index based on 2008 NAAQS.,This list represents counties with no monitored ozone air pollution in unhealthful ranges using the Air Quality Index based on 2008 NAAQS.,This list represents counties with no monitored ozone air pollution in unhealthful ranges using the Air Quality Index based on 2008 NAAQS.,,
,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,27
