Name: “Table 1 of 1 on page 48 of 179”,Name: “Table 1 of 1 on page 48 of 179”,Name: “Table 1 of 1 on page 48 of 179”,Name: “Table 1 of 1 on page 48 of 179”,Name: “Table 1 of 1 on page 48 of 179”,Name: “Table 1 of 1 on page 48 of 179”,Name: “Table 1 of 1 on page 48 of 179”
Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45
,,,,,,
,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,46
State Tables,,,,,,
Alabama .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 48,Illinois.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 80,Illinois.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 80,Montana. .  .  .  .  .  .  .  .  .  .  .  .  .  .,112,Rhode Island. .  .  .  .  .  .  .  .  .  .,146
Alaska. .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 50,Indiana.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 82,Indiana.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 82,Nebraska.  .  .  .  .  .  .  .  .  .  .  .  .  .,114,South Carolina .  .  .  .  .  .  .  .  .,148
Arizona .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 52,Iowa.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 86,Iowa.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 86,Nevada. .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,116,South Dakota.  .  .  .  .  .  .  .  .  .,150
Arkansas .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 54,Kansas.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 88,Kansas.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 88,New Hampshire.  .  .  .  .  .  .  .,118,Tennessee .  .  .  .  .  .  .  .  .  .  .  .  .,152
California.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 56,Kentucky.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 90,Kentucky.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 90,New Jersey.  .  .  .  .  .  .  .  .  .  .  .,120,Texas. .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,154
Colorado .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 60,Louisiana.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 94,Louisiana.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 94,New Mexico. .  .  .  .  .  .  .  .  .  .  .,122,Utah .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,158
Connecticut .  .  .  .  .  .  .  .  .  .  .  .  . 62,Maine.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 96,Maine.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 96,New York.  .  .  .  .  .  .  .  .  .  .  .  .  .,124,Vermont. .  .  .  .  .  .  .  .  .  .  .  .  .  .,160
Delaware.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 64,Maryland.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 98,Maryland.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 98,North Carolina .  .  .  .  .  .  .  .  .,128,Virginia. .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,162
District of Columbia .  .  .  .  .  . 66,Massachusetts .  .  .  .  .  .  .  .  .,100,North Dakota.  .  .  .  .  .  .  .  .  .,132,Washington. .  .  .  .  .  .  .  .  .  .  .,166
Florida .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 68,Michigan .  .  .  .  .  .  .  .  .  .  .  .  .  .,102,Ohio.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,134,West Virginia .  .  .  .  .  .  .  .  .  .,168
Georgia .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 72,Minnesota.  .  .  .  .  .  .  .  .  .  .  .  .,106,Oklahoma.  .  .  .  .  .  .  .  .  .  .  .  .,138,Wisconsin .  .  .  .  .  .  .  .  .  .  .  .  .,170
Hawai. .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 76,Mississippi.  .  .  .  .  .  .  .  .  .  .  .  .,108,Oregon. .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,140,Wyoming.  .  .  .  .  .  .  .  .  .  .  .  .  .,174
Idaho .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 78,Missouri.  .  .  .  .  .  .  .  .  .  .  .  .  .  .,110,Pennsylvania.  .  .  .  .  .  .  .  .  .  .,142,,
