Name: “Table 1 of 1 on page 141 of 179”,Name: “Table 1 of 1 on page 141 of 179”,Name: “Table 1 of 1 on page 141 of 179”,Name: “Table 1 of 1 on page 141 of 179”,Name: “Table 1 of 1 on page 141 of 179”,Name: “Table 1 of 1 on page 141 of 179”,Name: “Table 1 of 1 on page 141 of 179”,Name: “Table 1 of 1 on page 141 of 179”,Name: “Table 1 of 1 on page 141 of 179”,Name: “Table 1 of 1 on page 141 of 179”,Name: “Table 1 of 1 on page 141 of 179”,Name: “Table 1 of 1 on page 141 of 179”,Name: “Table 1 of 1 on page 141 of 179”
Table: 138,Table: 138,Table: 138,Table: 138,Table: 138,Table: 138,Table: 138,Table: 138,Table: 138,Table: 138,Table: 138,Table: 138,Table: 138
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Adair,11,0,0,3.7,F,0,0,0,0.0,A,INC,INC
Caddo,16,0,0,5.3,F,INC,INC,INC,INC,INC,INC,INC
Canadian,12,0,0,4.0,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Carter,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Cherokee,11,0,0,3.7,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Cleveland,22,0,0,7.3,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Comanche,12,0,0,4.0,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Cotton,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Creek,26,0,0,8.7,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Dewey,11,0,0,3.7,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Jefferson,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Kay,22,0,0,7.3,F,INC,INC,INC,INC,INC,INC,INC
Lincoln,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Love,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
McClain,17,0,0,5.7,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
McCurtain,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Mayes,23,0,0,7.7,F,INC,INC,INC,INC,INC,INC,INC
Muskogee,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC
Oklahoma,47,0,0,15.7,F,0,0,0,0.0,A,9.7,PASS
Osage,8,1,0,3.2,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Ottawa,12,0,0,4.0,F,INC,INC,INC,INC,INC,INC,INC
Pittsburg,11,0,0,3.7,F,2,0,0,0.7,B,10.3,PASS
Sequoyah,10,0,0,3.3,F,0,0,0,0.0,A,INC,INC
Tulsa,48,2,0,17.0,F,0,0,0,0.0,A,10.5,PASS
OKLAHOMA,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,139
