Name: “Table 1 of 1 on page 58 of 179”,Name: “Table 1 of 1 on page 58 of 179”,Name: “Table 1 of 1 on page 58 of 179”,Name: “Table 1 of 1 on page 58 of 179”,Name: “Table 1 of 1 on page 58 of 179”,Name: “Table 1 of 1 on page 58 of 179”,Name: “Table 1 of 1 on page 58 of 179”,Name: “Table 1 of 1 on page 58 of 179”,Name: “Table 1 of 1 on page 58 of 179”,Name: “Table 1 of 1 on page 58 of 179”,Name: “Table 1 of 1 on page 58 of 179”
Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55
,,,,,,,,,,
,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,56
CALIFORNIA,CALIFORNIA,,,,,,,,,
American Lung Association in California,American Lung Association in California,,,,,,,,,
"1531 I Street, Suite 201",,,,,AT-RISK GROUPS,AT-RISK GROUPS,AT-RISK GROUPS,,,
"Sacramento, CA 95814",,,,,,,,,,
(510) 638-5864,,,,,Lung Diseases,Lung Diseases,Lung Diseases,,,
www.lung.org/california,,,,,,,,,,
,,,,,,,,Cardio-,,
,,Total,,65 &,Pediatric,Adult,,vascular,,
,County,Population,Under 18,Over,Asthma,Asthma,COPD,Disease,Diabetes,Poverty
,Alameda,"1,554,720","343,246","183,311","30,109","106,687","55,408","78,544","116,935","200,101"
,Amador,"37,035","5,955","8,528",522,"2,815","1,782","2,846","3,842","4,425"
,Butte,"221,539","45,305","35,861","3,974","15,602","8,706","13,033","18,291","47,341"
,Calaveras,"44,742","8,311","10,425",729,"3,317","2,146","3,458","4,654","6,249"
,Colusa,"21,411","6,288","2,604",552,"1,337",719,"1,045","1,522","2,835"
,Contra Costa,"1,079,597","259,839","143,758","22,793","72,825","39,836","58,281","85,087","118,696"
,El Dorado,"180,561","39,053","29,562","3,426","12,747","7,490","11,383","16,288","16,708"
,Fresno,"947,895","277,928","100,217","24,380","58,731","30,020","42,282","62,691","263,134"
,Glenn,"27,992","7,716","3,929",677,"1,801","1,004","1,493","2,130","4,777"
,Humboldt,"134,827","26,563","19,150","2,330","9,576","5,183","7,568","10,959","28,883"
,Imperial,"176,948","50,686","19,527","4,446","11,084","5,722","8,115","11,970","38,189"
,Inyo,"18,495","3,876","3,680",340,"1,317",806,"1,266","1,732","2,139"
,Kern,"856,158","255,815","80,525","22,440","52,552","26,262","36,291","54,932","195,433"
,Kings,"151,364","41,880","12,839","3,674","9,534","4,591","6,174","9,529","28,388"
,Lake,"63,983","13,298","12,223","1,166","4,570","2,776","4,325","5,990","15,790"
,Los Angeles,"9,962,789","2,360,255","1,144,579","207,040","667,835","343,914","485,919","721,640","1,873,522"
,Madera,"152,218","43,129","18,551","3,783","9,611","5,104","7,379","10,718","33,785"
,Marin,"256,069","52,560","46,638","4,611","18,330","10,979","16,947","23,725","21,058"
,Mariposa,"17,905","3,093","4,114",271,"1,346",861,"1,379","1,865","3,260"
,Mendocino,"87,428","19,225","15,056","1,686","6,109","3,580","5,474","7,671","18,375"
,Merced,"262,305","80,491","26,042","7,061","15,909","8,027","11,204","16,722","62,055"
,Monterey,"426,762","113,819","47,908","9,984","27,460","14,136","20,005","29,558","73,768"
,Napa,"139,045","31,352","22,225","2,750","9,589","5,452","8,213","11,591","13,111"
,Nevada,"98,292","17,924","21,145","1,572","7,278","4,558","7,224","9,853","11,579"
,Orange,"3,090,132","734,631","381,609","64,441","207,808","109,814","157,669","231,918","396,951"
