Name: “Table 1 of 1 on page 23 of 179”,Name: “Table 1 of 1 on page 23 of 179”,Name: “Table 1 of 1 on page 23 of 179”,Name: “Table 1 of 1 on page 23 of 179”,Name: “Table 1 of 1 on page 23 of 179”,Name: “Table 1 of 1 on page 23 of 179”,Name: “Table 1 of 1 on page 23 of 179”
Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20
,,,,,,
Cleanest Counties for Short-term Particle Pollution (24-hour PM2.5) 1,Cleanest Counties for Short-term Particle Pollution (24-hour PM2.5) 1,Cleanest Counties for Short-term Particle Pollution (24-hour PM2.5) 1,Cleanest Counties for Short-term Particle Pollution (24-hour PM2.5) 1,,,
County,State,MSAs and Respective CSA2,County,State,MSAs and Respective CSA2,
Anchorage Municipality,AK,"Anchorage, AK",Santa Barbara,CA,"Santa Maria-Santa Barbara, CA",
Baldwin,AL,"Mobile-Daphne-Fairhope, AL",Santa Cruz,CA,"San Jose-San Francisco-Oakland, CA",
Clay,AL,,Shasta,CA,"Redding-Red Bluff, CA",
Colbert,AL,"Florence-Muscle Shoals, AL",Siskiyou,CA,,
DeKalb,AL,,Sonoma,CA,"San Jose-San Francisco-Oakland, CA",
Madison,AL,"Huntsville-Decatur-Albertville, AL",Arapahoe,CO,"Denver-Aurora, CO",
Mobile,AL,"Mobile-Daphne-Fairhope, AL",Douglas,CO,"Denver-Aurora, CO",
Montgomery,AL,"Montgomery, AL",El Paso,CO,"Colorado Springs, CO",
Morgan,AL,"Huntsville-Decatur-Albertville, AL",La Plata,CO,,
Russell,AL,"Columbus-Auburn-Opelika, GA-AL",Larimer,CO,"Fort Collins, CO",
Shelby,AL,"Birmingham-Hoover-Talladega, AL",Montezuma,CO,,
Talladega,AL,"Birmingham-Hoover-Talladega, AL",Pueblo,CO,"Pueblo-Cañon City, CO",
Arkansas,AR,,Litchfield,CT,"New York-Newark, NY-NJ-CT-PA",
Ashley,AR,,New London,CT,"Hartford-West Hartford, CT",
Crittenden,AR,"Memphis-Forrest City, TN-MS-AR",Kent,DE,"Philadelphia-Reading-Camden, PA-NJ-DE-MD","Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Faulkner,AR,"Little Rock-North Little Rock, AR",Sussex,DE,"Salisbury, MD-DE",
Garland,AR,"Hot Springs-Malvern, AR",Brevard,FL,"Palm Bay-Melbourne-Titusville, FL",
Jackson,AR,,Citrus,FL,"Homosassa Springs, FL",
Phillips,AR,,Escambia,FL,"Pensacola-Ferry Pass-Brent, FL",
Polk,AR,,Hillsborough,FL,"Tampa-St. Petersburg-Clearwater, FL",
Pope,AR,,Lee,FL,"Cape Coral-Fort Myers-Naples, FL",
Union,AR,,Leon,FL,"Tallahassee-Bainbridge, FL-GA",
Washington,AR,"Fayetteville-Springdale-Rogers, AR-MO",Orange,FL,"Orlando-Deltona-Daytona Beach, FL",
Apache,AZ,,Pinellas,FL,"Tampa-St. Petersburg-Clearwater, FL",
Cochise,AZ,"Sierra Vista-Douglas, AZ",Polk,FL,"Lakeland-Winter Haven, FL",
Coconino,AZ,"Flagstaff, AZ",Sarasota,FL,"North Port-Sarasota, FL",
Pima,AZ,"Tucson-Nogales, AZ",Seminole,FL,"Orlando-Deltona-Daytona Beach, FL",
Yavapai,AZ,"Prescott, AZ",Bibb,GA,"Macon-Warner Robins, GA",
Yuma,AZ,"Yuma, AZ",Clarke,GA,"Atlanta—Athens-Clarke County—Sandy Springs, GA","Atlanta—Athens-Clarke County—Sandy Springs, GA"
Calaveras,CA,,Clayton,GA,"Atlanta—Athens-Clarke County—Sandy Springs, GA","Atlanta—Athens-Clarke County—Sandy Springs, GA"
Humboldt,CA,,Hall,GA,"Atlanta—Athens-Clarke County—Sandy Springs, GA","Atlanta—Athens-Clarke County—Sandy Springs, GA"
Lake,CA,,Houston,GA,"Macon-Warner Robins, GA",
Mendocino,CA,,Paulding,GA,"Atlanta—Athens-Clarke County—Sandy Springs, GA","Atlanta—Athens-Clarke County—Sandy Springs, GA"
Monterey,CA,"Salinas, CA",Walker,GA,"Chattanooga-Cleveland-Dalton, TN-GA-AL",
Nevada,CA,"Sacramento-Roseville, CA",Maui,HI,"Kahului-Wailuku-Lahaina, HI",
San Benito,CA,"San Jose-San Francisco-Oakland, CA",Montgomery,IA,,
Notes:,,,,,,
1.,This list represents counties with the lowest levels of short term PM2.5 air pollution. Monitors in these counties reported no days with unhealthful PM2.5 levels.,This list represents counties with the lowest levels of short term PM2.5 air pollution. Monitors in these counties reported no days with unhealthful PM2.5 levels.,This list represents counties with the lowest levels of short term PM2.5 air pollution. Monitors in these counties reported no days with unhealthful PM2.5 levels.,,,
2.,MSA and CSA are terms used by the U.S. Office of Management and Budget for statistical purposes. MSA stands for Metropolitan Statistical Area. CSA stands,MSA and CSA are terms used by the U.S. Office of Management and Budget for statistical purposes. MSA stands for Metropolitan Statistical Area. CSA stands,MSA and CSA are terms used by the U.S. Office of Management and Budget for statistical purposes. MSA stands for Metropolitan Statistical Area. CSA stands,,,
,"for Combined Statistical Area, which may include multiples and individual counties.","for Combined Statistical Area, which may include multiples and individual counties.",,,,
,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,21
