Name: “Table 1 of 1 on page 151 of 179”,Name: “Table 1 of 1 on page 151 of 179”,Name: “Table 1 of 1 on page 151 of 179”,Name: “Table 1 of 1 on page 151 of 179”,Name: “Table 1 of 1 on page 151 of 179”,Name: “Table 1 of 1 on page 151 of 179”,Name: “Table 1 of 1 on page 151 of 179”,Name: “Table 1 of 1 on page 151 of 179”,Name: “Table 1 of 1 on page 151 of 179”,Name: “Table 1 of 1 on page 151 of 179”,Name: “Table 1 of 1 on page 151 of 179”,Name: “Table 1 of 1 on page 151 of 179”,Name: “Table 1 of 1 on page 151 of 179”
Table: 148,Table: 148,Table: 148,Table: 148,Table: 148,Table: 148,Table: 148,Table: 148,Table: 148,Table: 148,Table: 148,Table: 148,Table: 148
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Abbeville,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Aiken,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Anderson,8,0,0,2.7,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Berkeley,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Charleston,0,0,0,0.0,A,5,0,0,1.7,C,8.9,PASS
Cherokee,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Chesterfield,2,0,0,0.7,B,0,0,0,0.0,A,9.3,PASS
Colleton,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Darlington,3,0,0,1.0,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Edgefield,0,0,0,0.0,A,1,0,0,0.3,B,9.8,PASS
Florence,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,10.4,PASS
Greenville,4,0,0,1.3,C,5,0,0,1.7,C,10.9,PASS
Lexington,DNC,DNC,DNC,DNC,DNC,1,0,0,0.3,B,11.1,PASS
Oconee,1,0,0,0.3,B,INC,INC,INC,INC,INC,INC,INC
Pickens,3,0,0,1.0,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Richland,12,0,0,4.0,F,0,0,0,0.0,A,10.7,PASS
Spartanburg,12,0,0,4.0,F,0,0,0,0.0,A,INC,INC
York,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
SOUTH CAROLINA,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,149
