Name: “Table 1 of 1 on page 76 of 179”,Name: “Table 1 of 1 on page 76 of 179”,Name: “Table 1 of 1 on page 76 of 179”,Name: “Table 1 of 1 on page 76 of 179”,Name: “Table 1 of 1 on page 76 of 179”,Name: “Table 1 of 1 on page 76 of 179”,Name: “Table 1 of 1 on page 76 of 179”,Name: “Table 1 of 1 on page 76 of 179”,Name: “Table 1 of 1 on page 76 of 179”,Name: “Table 1 of 1 on page 76 of 179”,Name: “Table 1 of 1 on page 76 of 179”,Name: “Table 1 of 1 on page 76 of 179”,Name: “Table 1 of 1 on page 76 of 179”,Name: “Table 1 of 1 on page 76 of 179”
Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73
,,,,,,,,,,,,,
,,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,74
GEORGIA,GEORGIA,,,,,,,,,,,,
American Lung Association in Georgia,American Lung Association in Georgia,,,,,,,,,,,,
2452 Spring Road,,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,
"Smyrna, GA 30080-3862",,,,,,,,,,,,,
(770) 434-5864,,,,,,,,24 Hour,24 Hour,,,Annual,
www.lung.org/georgia,,,,,Wgt.,,,,,Wgt.,,Design,Pass/
,County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
,Bibb,10,0,0,3.3,F,0,0,0,0.0,A,13.1,FAIL
,Chatham,0,0,0,0.0,A,6,0,0,2.0,C,10.7,PASS
,Chattooga,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Clarke,8,0,0,2.7,D,0,0,0,0.0,A,10.4,PASS
,Clayton,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,12.3,FAIL
,Cobb,25,0,0,8.3,F,1,0,0,0.3,B,11.1,PASS
,Columbia,3,0,0,1.0,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Coweta,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Dawson,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,DeKalb,19,2,0,7.3,F,0,1,0,0.5,B,11.5,PASS
,Dougherty,DNC,DNC,DNC,DNC,DNC,5,1,0,2.2,D,INC,INC
,Douglas,11,0,0,3.7,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Floyd,DNC,DNC,DNC,DNC,DNC,0,3,0,1.5,C,12.1,FAIL
,Fulton,33,1,0,11.5,F,2,0,0,0.7,B,12.9,FAIL
,Glynn,0,0,0,0.0,A,1,0,0,0.3,B,INC,INC
,Gwinnett,15,0,0,5.0,F,1,0,0,0.3,B,INC,INC
,Hall,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,10.4,PASS
,Henry,20,0,1,7.3,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Houston,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,11.0,PASS
,Lowndes,DNC,DNC,DNC,DNC,DNC,2,1,0,1.2,C,INC,INC
,Murray,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Muscogee,1,0,0,0.3,B,3,0,1,1.7,C,12.5,FAIL
,Paulding,6,0,0,2.0,C,0,0,0,0.0,A,INC,INC
,Pike,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Richmond,7,0,0,2.3,D,1,0,0,0.3,B,11.6,PASS
,Rockdale,25,2,0,9.3,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
