Name: “Table 1 of 1 on page 153 of 179”,Name: “Table 1 of 1 on page 153 of 179”,Name: “Table 1 of 1 on page 153 of 179”,Name: “Table 1 of 1 on page 153 of 179”,Name: “Table 1 of 1 on page 153 of 179”,Name: “Table 1 of 1 on page 153 of 179”,Name: “Table 1 of 1 on page 153 of 179”,Name: “Table 1 of 1 on page 153 of 179”,Name: “Table 1 of 1 on page 153 of 179”,Name: “Table 1 of 1 on page 153 of 179”,Name: “Table 1 of 1 on page 153 of 179”,Name: “Table 1 of 1 on page 153 of 179”,Name: “Table 1 of 1 on page 153 of 179”
Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Brookings,0,0,0,0.0,A,0,0,0,0.0,A,8.4,PASS
Brown,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,7.8,PASS
Codington,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,9.3,PASS
Custer,0,0,0,0.0,A,1,1,0,0.8,B,4.4,PASS
Jackson,0,0,0,0.0,A,0,0,0,0.0,A,3.8,PASS
Meade,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Minnehaha,0,0,0,0.0,A,1,0,0,0.3,B,8.9,PASS
Pennington,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,5.9,PASS
Union,0,0,0,0.0,A,2,0,0,0.7,B,8.4,PASS
SOUTH DAKOTA,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,151
