Name: “Table 1 of 1 on page 62 of 179”,Name: “Table 1 of 1 on page 62 of 179”,Name: “Table 1 of 1 on page 62 of 179”,Name: “Table 1 of 1 on page 62 of 179”,Name: “Table 1 of 1 on page 62 of 179”,Name: “Table 1 of 1 on page 62 of 179”,Name: “Table 1 of 1 on page 62 of 179”,Name: “Table 1 of 1 on page 62 of 179”,Name: “Table 1 of 1 on page 62 of 179”,Name: “Table 1 of 1 on page 62 of 179”,Name: “Table 1 of 1 on page 62 of 179”
Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59
,,,,,,,,,,
,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,60
COLORADO,COLORADO,,,,,,,,,
American Lung Association in Colorado,American Lung Association in Colorado,,,,,,,,,
"5600 Greenwood Plaza Blvd., Suite 10	0","5600 Greenwood Plaza Blvd., Suite 10	0",,,,AT-RISK GROUPS,AT-RISK GROUPS,AT-RISK GROUPS,,,
"Greenwood Village, CO 80111-2316",,,,,,,,,,
(303) 388-4327,,,,,Lung Diseases,Lung Diseases,Lung Diseases,,,
www.lung.org/colorado,,,,,,,,,,
,,,,,,,,Cardio-,,
,,Total,,65 &,Pediatric,Adult,,vascular,,
,County,Population,Under 18,Over,Asthma,Asthma,COPD,Disease,Diabetes,Poverty
,Adams,"459,598","129,629","41,343","11,398","29,579","14,519","17,110","22,264","67,494"
,Arapahoe,"595,546","148,501","65,993","13,057","39,947","21,208","25,522","32,612","70,578"
,Boulder,"305,318","62,518","33,815","5,497","21,725","11,171","13,349","17,144","41,787"
,Denver,"634,265","137,858","66,895","12,121","44,521","21,646","25,877","32,791","120,890"
,Douglas,"298,215","86,964","25,519","7,646","18,894","9,766","11,378","15,265","12,865"
,El Paso,"644,964","163,452","68,972","14,371","43,062","22,426","26,898","34,424","82,170"
,Elbert,"23,383","5,419","2,865",476,"1,595",972,"1,166","1,537","1,424"
,Garfield,"56,953","15,202","5,405","1,337","3,736","1,918","2,262","2,968","6,676"
,Gunnison,"15,475","2,835","1,545",249,"1,133",557,653,856,"2,345"
,Jackson,"1,348",238,287,21,98,68,88,103,212
,Jefferson,"545,358","116,742","74,346","10,264","38,157","22,075","27,104","34,056","49,867"
,La Plata,"52,401","10,352","6,734",910,"3,751","2,072","2,520","3,188","6,307"
,Larimer,"310,487","64,060","40,112","5,632","22,009","11,857","14,516","18,069","41,513"
,Mesa,"147,848","34,110","23,348","2,999","10,113","6,043","7,650","9,173","21,760"
,Moffat,"13,200","3,409","1,558",300,873,490,594,759,"1,581"
,Montezuma,"25,431","5,714","4,555",502,"1,746","1,131","1,451","1,725","5,338"
,Pitkin,"17,263","2,867","2,384",252,"1,282",731,891,"1,131","1,409"
,Pueblo,"160,852","38,160","25,800","3,355","10,902","6,604","8,387","10,029","31,646"
,Rio Blanco,"6,857","1,737",888,153,456,258,318,396,664
,Weld,"263,691","71,815","27,600","6,314","17,163","8,897","10,686","13,631","36,828"
,Totals,"4,578,453","1,101,582","519,964","96,856","310,742","164,409","198,422","252,123","603,354"
