Name: “Table 1 of 1 on page 49 of 53”,Name: “Table 1 of 1 on page 49 of 53”,Name: “Table 1 of 1 on page 49 of 53”
Table: 49,Table: 49,Table: 49
,,
,,Appendix C: Agencies with DCJS Certified Crime Prevention Specialists
Number,Total,
of CPSs,Agencies,Agency
100,1,Virginia State Police
47,1,Henrico Co Division of Police
10,1,Fairfax Co PD
8,1,Prince William Co PD
7,1,Chesterfield Co PD
6,3,"Arlington Co PD, James City Co PD, Virginia Beach City PD"
5,3,"Fairfax Co SO, Newport News City PD, Richmond City PD"
4,3,"Blacksburg Town PD, Roanoke City PD, VCU PD"
3,14,"Campbell Co SO, Charlottesville City PD, Fauquier Co SO, Galax City PD, Hanover Co SO, Kings"
,,"Dominion PD, Lynchburg City PD, Norfolk City SO, Portsmouth City PD, Radford City PD, VDOT"
,,"Security, York Co/Poquoson City SO, VABC, VA Capitol Police"
2,24,"Amherst Co SO, Chesapeake City PD, Culpeper Town PD, Culpeper Co SO, Hampton City PD,"
,,"Harrisonburg City PD, Longwood Univ. PD, Loudoun Co SO, Manassas Park City PD, Mathews Co SO,"
,,"Martinsville City PD, Montgomery Co SO, Page Co SO, Portsmouth City SO, Prince George Co PD,"
,,"Radford Univ. PD, Roanoke City SO, Stafford Co SO, Tazewell Co SO, Univ. of Richmond PD, UVA PD,"
,,"VA Tech PD, Winchester City PD, Wytheville Town PD,"
1,43,"Albemarle Co PD, Alexandria City PD, Ashland Town PD, Altavista Town PD, Bedford City PD, Bristol"
,,"City SO, Brunswick Co SO, Buchanan Co SO, Caroline Co SO, Carroll Co SO, Christiansburg Town PD,"
,,"Christopher Newport Univ. PD, Clarke Co SO, Danville City PD, Dickenson Co SO, Emporia City PD,"
,,"Fredericksburg City PD, Front Royal Town PD, Henry Co SO, Herndon Town PD, J. Sargent Reynolds CC"
,,"PD, King William Co SO, Leesburg Town PD, Liberty Univ. PD, Mecklenburg Co SO, Middlesex Co SO,"
,,"Poquoson City PD, Powhatan Co SO, Pulaski Town PD, Roanoke Co PD, Roanoke Co SO, Rockbridge"
,,"Co SO, Rockingham Co SO, Russell Co SO, Salem City PD, Shenandoah Co SO, Smithfield Town PD,"
,,"Spotsylvania Co SO, Tappahannock Town PD, Vinton Town PD, Warren Co SO, West Point Town PD,"
,,Wise Co SO
,,Page 44
