Name: “Table 1 of 1 on page 12 of 53”,Name: “Table 1 of 1 on page 12 of 53”,Name: “Table 1 of 1 on page 12 of 53”,Name: “Table 1 of 1 on page 12 of 53”,Name: “Table 1 of 1 on page 12 of 53”,Name: “Table 1 of 1 on page 12 of 53”,Name: “Table 1 of 1 on page 12 of 53”,Name: “Table 1 of 1 on page 12 of 53”,Name: “Table 1 of 1 on page 12 of 53”,Name: “Table 1 of 1 on page 12 of 53”,Name: “Table 1 of 1 on page 12 of 53”,Name: “Table 1 of 1 on page 12 of 53”,Name: “Table 1 of 1 on page 12 of 53”,Name: “Table 1 of 1 on page 12 of 53”,Name: “Table 1 of 1 on page 12 of 53”
Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12
,,,,,,,,,,,,,,
Table 2 presents the top 14 law enforcement agencies in terms of active CPSs employed:7,Table 2 presents the top 14 law enforcement agencies in terms of active CPSs employed:7,Table 2 presents the top 14 law enforcement agencies in terms of active CPSs employed:7,Table 2 presents the top 14 law enforcement agencies in terms of active CPSs employed:7,Table 2 presents the top 14 law enforcement agencies in terms of active CPSs employed:7,Table 2 presents the top 14 law enforcement agencies in terms of active CPSs employed:7,Table 2 presents the top 14 law enforcement agencies in terms of active CPSs employed:7,Table 2 presents the top 14 law enforcement agencies in terms of active CPSs employed:7,,,,,,,
,,,,Table 2:,Table 2:,,,,,,,,,
,,Top 14 Agencies in Terms of Active CPS’s,Top 14 Agencies in Terms of Active CPS’s,Top 14 Agencies in Terms of Active CPS’s,Top 14 Agencies in Terms of Active CPS’s,Top 14 Agencies in Terms of Active CPS’s,Top 14 Agencies in Terms of Active CPS’s,,,,,,,
Agency,,,,,,,,,# of CPS’s,# of CPS’s,# of CPS’s,,,
Virginia State Police,,,,,,,,,100,100,,,,
Henrico County Division of Police,Henrico County Division of Police,,,,,,,,47,47,,,,
Fairfax County Police Department,Fairfax County Police Department,,,,,,,,10,10,,,,
Prince William County Police Department,Prince William County Police Department,Prince William County Police Department,,,,,,,8,8,,,,
Chesterfield County Police Department,Chesterfield County Police Department,Chesterfield County Police Department,,,,,,,7,7,,,,
Arlington County SO,,,,,,,,,6,6,,,,
James City County PD,James City County PD,,,,,,,,6,6,,,,
