Name: “Table 1 of 1 on page 64 of 79”,Name: “Table 1 of 1 on page 64 of 79”,Name: “Table 1 of 1 on page 64 of 79”,Name: “Table 1 of 1 on page 64 of 79”,Name: “Table 1 of 1 on page 64 of 79”,Name: “Table 1 of 1 on page 64 of 79”,Name: “Table 1 of 1 on page 64 of 79”,Name: “Table 1 of 1 on page 64 of 79”,Name: “Table 1 of 1 on page 64 of 79”
Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64
,,,,,,,,
OMB NO. 1810-0614,OMB NO. 1810-0614,,,,,,,Page 63
2.4.2.5,Vocational Outcomes - Subpart 2,Vocational Outcomes - Subpart 2,,,,,,
"The following questions collect data on vocational outcomes of students served through Title I, Part D, Subpart 2.","The following questions collect data on vocational outcomes of students served through Title I, Part D, Subpart 2.","The following questions collect data on vocational outcomes of students served through Title I, Part D, Subpart 2.","The following questions collect data on vocational outcomes of students served through Title I, Part D, Subpart 2.","The following questions collect data on vocational outcomes of students served through Title I, Part D, Subpart 2.","The following questions collect data on vocational outcomes of students served through Title I, Part D, Subpart 2.","The following questions collect data on vocational outcomes of students served through Title I, Part D, Subpart 2.","The following questions collect data on vocational outcomes of students served through Title I, Part D, Subpart 2.",
2.4.2.5.1 Vocational Outcomes While in the LEA Program/Facility,2.4.2.5.1 Vocational Outcomes While in the LEA Program/Facility,2.4.2.5.1 Vocational Outcomes While in the LEA Program/Facility,2.4.2.5.1 Vocational Outcomes While in the LEA Program/Facility,2.4.2.5.1 Vocational Outcomes While in the LEA Program/Facility,2.4.2.5.1 Vocational Outcomes While in the LEA Program/Facility,2.4.2.5.1 Vocational Outcomes While in the LEA Program/Facility,,
"In the table below, provide the unduplicated number of students who attained vocational outcomes while in the LEA program by","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the LEA program by","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the LEA program by","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the LEA program by","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the LEA program by","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the LEA program by","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the LEA program by","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the LEA program by","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the LEA program by"
type of program/facility.,type of program/facility.,,,,,,,
,,At-Risk,At-Risk,Neglected,Neglected,,Juvenile,Other
,# of Students Who,Programs,Programs,Programs,Programs,Juvenile Detention,Corrections,Programs
Enrolled in elective job training,Enrolled in elective job training,,,,,,,
courses/programs,courses/programs,49,,13,,42,"n
    ","n
    "
Comments:,Comments:,,,,,,,
2.4.2.5.2 Vocational Outcomes While in the LEA Program/Facility or Within 30 Days After Exit,2.4.2.5.2 Vocational Outcomes While in the LEA Program/Facility or Within 30 Days After Exit,2.4.2.5.2 Vocational Outcomes While in the LEA Program/Facility or Within 30 Days After Exit,2.4.2.5.2 Vocational Outcomes While in the LEA Program/Facility or Within 30 Days After Exit,2.4.2.5.2 Vocational Outcomes While in the LEA Program/Facility or Within 30 Days After Exit,2.4.2.5.2 Vocational Outcomes While in the LEA Program/Facility or Within 30 Days After Exit,2.4.2.5.2 Vocational Outcomes While in the LEA Program/Facility or Within 30 Days After Exit,2.4.2.5.2 Vocational Outcomes While in the LEA Program/Facility or Within 30 Days After Exit,
"In the table below, provide the unduplicated number of students who attained vocational outcomes while in the LEA","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the LEA","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the LEA","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the LEA","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the LEA","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the LEA","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the LEA","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the LEA",
"program/facility or within 30 days after exit, by type of program/facility.","program/facility or within 30 days after exit, by type of program/facility.","program/facility or within 30 days after exit, by type of program/facility.","program/facility or within 30 days after exit, by type of program/facility.","program/facility or within 30 days after exit, by type of program/facility.","program/facility or within 30 days after exit, by type of program/facility.","program/facility or within 30 days after exit, by type of program/facility.",,
,,At-Risk,Neglected,Neglected,,,,Other
# of Students Who,# of Students Who,Programs,Programs,Programs,Juvenile Detention,Juvenile Detention,Juvenile Corrections,Programs
Enrolled in external job training,Enrolled in external job training,,,,,,,
education,education,"n
    ","n
    ",,"n
    ",,"n
    ","n
    "
Obtained employment,Obtained employment,71,32,,11,,"n
    ","n
    "
Comments:,Comments:,,,,,,,
