Name: “Table 1 of 1 on page 70 of 79”,Name: “Table 1 of 1 on page 70 of 79”,Name: “Table 1 of 1 on page 70 of 79”
Table: 70,Table: 70,Table: 70
,,
OMB NO. 1810-0614,,Page 68
2.7.2.2,Out-of-School Suspensions and Expulsions for Violent Incident Without Physical Injury,
The following questions collect data on violent incident without physical injury.,The following questions collect data on violent incident without physical injury.,
2.7.2.2.1 Out-of-School Suspensions for Violent Incident Without Physical Injury,2.7.2.2.1 Out-of-School Suspensions for Violent Incident Without Physical Injury,
"In the table below, provide the number of out-of-school suspensions for violent incident without physical injury by grade level.","In the table below, provide the number of out-of-school suspensions for violent incident without physical injury by grade level.","In the table below, provide the number of out-of-school suspensions for violent incident without physical injury by grade level."
"Also, provide the number of LEAs that reported data on violent incident without physical injury, including LEAs that report no","Also, provide the number of LEAs that reported data on violent incident without physical injury, including LEAs that report no","Also, provide the number of LEAs that reported data on violent incident without physical injury, including LEAs that report no"
incidents.,,
Grades,# Suspensions for Violent Incident Without Physical Injury,# LEAs Reporting
K through 5,"2,564",132
6 through 8,"7,346",132
9 through 12,"6,604",131
Comments:,Only 131 of 132 school divisions reported for grades 9 through 12. Lexington City secondary students attend,Only 131 of 132 school divisions reported for grades 9 through 12. Lexington City secondary students attend
Rockbridge County Public Schools.,Rockbridge County Public Schools.,
2.7.2.2.2 Out-of-School Expulsions for Violent Incident Without Physical Injury,2.7.2.2.2 Out-of-School Expulsions for Violent Incident Without Physical Injury,
"In the table below, provide the number of out-of school expulsions for violent incident without physical injury by grade level. Also,","In the table below, provide the number of out-of school expulsions for violent incident without physical injury by grade level. Also,","In the table below, provide the number of out-of school expulsions for violent incident without physical injury by grade level. Also,"
"provide the number of LEAs that reported data on violent incident without physical injury, including LEAs that report no incidents.","provide the number of LEAs that reported data on violent incident without physical injury, including LEAs that report no incidents.","provide the number of LEAs that reported data on violent incident without physical injury, including LEAs that report no incidents."
Grades,# Expulsions for Violent Incident Without Physical Injury,# LEAs Reporting
K through 5,0,132
6 through 8,"n
    ",132
9 through 12,55,131
Comments:,Only 131 of 132 school divisions reported for grades 9 through 12. Lexington City secondary students attend,Only 131 of 132 school divisions reported for grades 9 through 12. Lexington City secondary students attend
Rockbridge County Public Schools.,Rockbridge County Public Schools.,
