Name: “Table 1 of 1 on page 56 of 79”,Name: “Table 1 of 1 on page 56 of 79”,Name: “Table 1 of 1 on page 56 of 79”,Name: “Table 1 of 1 on page 56 of 79”,Name: “Table 1 of 1 on page 56 of 79”,Name: “Table 1 of 1 on page 56 of 79”,Name: “Table 1 of 1 on page 56 of 79”
Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56
,,,,,,
OMB NO. 1810-0614,,,,,,Page 55
2.4.1.5,Vocational Outcomes - Subpart 1,Vocational Outcomes - Subpart 1,,,,
"The following questions collect data on vocational outcomes of students served through Title I, Part D, Subpart 1.","The following questions collect data on vocational outcomes of students served through Title I, Part D, Subpart 1.","The following questions collect data on vocational outcomes of students served through Title I, Part D, Subpart 1.","The following questions collect data on vocational outcomes of students served through Title I, Part D, Subpart 1.","The following questions collect data on vocational outcomes of students served through Title I, Part D, Subpart 1.","The following questions collect data on vocational outcomes of students served through Title I, Part D, Subpart 1.",
2.4.1.5.1 Vocational Outcomes While in the State Agency Program/Facility,2.4.1.5.1 Vocational Outcomes While in the State Agency Program/Facility,2.4.1.5.1 Vocational Outcomes While in the State Agency Program/Facility,2.4.1.5.1 Vocational Outcomes While in the State Agency Program/Facility,,,
"In the table below, provide the unduplicated number of students who attained vocational outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the State agency"
program by type of program/facility.,program by type of program/facility.,,,,,
,Neglected,Neglected,,Juvenile Corrections,Adult,Other
# of Students Who,Programs,Programs,Juvenile Detention Facilities,Facilities,Corrections Programs,Corrections Programs
Enrolled in elective job training,,,,,,
courses/programs,,,385,"1,342",,
Comments:,,,,,,
2.4.1.5.2 Vocational Outcomes While in the State Agency Program/Facility or Within 30 Days After Exit,2.4.1.5.2 Vocational Outcomes While in the State Agency Program/Facility or Within 30 Days After Exit,2.4.1.5.2 Vocational Outcomes While in the State Agency Program/Facility or Within 30 Days After Exit,2.4.1.5.2 Vocational Outcomes While in the State Agency Program/Facility or Within 30 Days After Exit,2.4.1.5.2 Vocational Outcomes While in the State Agency Program/Facility or Within 30 Days After Exit,2.4.1.5.2 Vocational Outcomes While in the State Agency Program/Facility or Within 30 Days After Exit,
"In the table below, provide the unduplicated number of students who attained vocational outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained vocational outcomes while in the State agency"
"program/facility or within 30 days after exit, by type of program/facility.","program/facility or within 30 days after exit, by type of program/facility.","program/facility or within 30 days after exit, by type of program/facility.","program/facility or within 30 days after exit, by type of program/facility.",,,
,Neglected,,,Juvenile Corrections,Adult,Other
# of Students Who,Programs,Juvenile Detention Facilities,Juvenile Detention Facilities,Facilities,Corrections,Programs
Enrolled in external job,,,,,,
training education,,385,,457,,
Obtained employment,,"n
    ",,"n
    ",,
Comments:,,,,,,
