Name: “Table 1 of 1 on page 55 of 79”,Name: “Table 1 of 1 on page 55 of 79”,Name: “Table 1 of 1 on page 55 of 79”,Name: “Table 1 of 1 on page 55 of 79”,Name: “Table 1 of 1 on page 55 of 79”,Name: “Table 1 of 1 on page 55 of 79”,Name: “Table 1 of 1 on page 55 of 79”,Name: “Table 1 of 1 on page 55 of 79”
Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55
,,,,,,,
OMB NO. 1810-0614,,,,,,,Page 54
2.4.1.4,Academic Outcomes– Subpart 1,,,,,,
"The following questions collect academic outcome data on students served through Title I, Part D, Subpart 1.","The following questions collect academic outcome data on students served through Title I, Part D, Subpart 1.","The following questions collect academic outcome data on students served through Title I, Part D, Subpart 1.","The following questions collect academic outcome data on students served through Title I, Part D, Subpart 1.","The following questions collect academic outcome data on students served through Title I, Part D, Subpart 1.","The following questions collect academic outcome data on students served through Title I, Part D, Subpart 1.","The following questions collect academic outcome data on students served through Title I, Part D, Subpart 1.",
2.4.1.4.1 Academic Outcomes While in the State Agency Program/Facility,2.4.1.4.1 Academic Outcomes While in the State Agency Program/Facility,2.4.1.4.1 Academic Outcomes While in the State Agency Program/Facility,2.4.1.4.1 Academic Outcomes While in the State Agency Program/Facility,2.4.1.4.1 Academic Outcomes While in the State Agency Program/Facility,2.4.1.4.1 Academic Outcomes While in the State Agency Program/Facility,,
"In the table below, provide the unduplicated number of students who attained academic outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained academic outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained academic outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained academic outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained academic outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained academic outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained academic outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained academic outcomes while in the State agency"
program/facility by type of program/facility.,program/facility by type of program/facility.,,,,,,
,Neglected,Juvenile Detention,Juvenile Detention,Juvenile Corrections,Juvenile Corrections,Adult Corrections,Other
# of Students Who,Programs,,Facilities,,Facilities,Facilities,Programs
Earned high school,,,,,,,
course credits,,"4,224",,628,,,
Enrolled in a GED,,,,,,,
program,,443,,243,,,
Comments:,,,,,,,
2.4.1.4.2 Academic Outcomes While in the State Agency Program/Facility or Within 30 Calendar Days After Exit,2.4.1.4.2 Academic Outcomes While in the State Agency Program/Facility or Within 30 Calendar Days After Exit,2.4.1.4.2 Academic Outcomes While in the State Agency Program/Facility or Within 30 Calendar Days After Exit,2.4.1.4.2 Academic Outcomes While in the State Agency Program/Facility or Within 30 Calendar Days After Exit,2.4.1.4.2 Academic Outcomes While in the State Agency Program/Facility or Within 30 Calendar Days After Exit,2.4.1.4.2 Academic Outcomes While in the State Agency Program/Facility or Within 30 Calendar Days After Exit,2.4.1.4.2 Academic Outcomes While in the State Agency Program/Facility or Within 30 Calendar Days After Exit,2.4.1.4.2 Academic Outcomes While in the State Agency Program/Facility or Within 30 Calendar Days After Exit
"In the table below, provide the unduplicated number of students who attained academic outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained academic outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained academic outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained academic outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained academic outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained academic outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained academic outcomes while in the State agency","In the table below, provide the unduplicated number of students who attained academic outcomes while in the State agency"
"program/facility or within 30 calendar days after exit, by type of program/facility.","program/facility or within 30 calendar days after exit, by type of program/facility.","program/facility or within 30 calendar days after exit, by type of program/facility.","program/facility or within 30 calendar days after exit, by type of program/facility.","program/facility or within 30 calendar days after exit, by type of program/facility.","program/facility or within 30 calendar days after exit, by type of program/facility.",,
,Neglected,Neglected,Juvenile Detention,Juvenile Detention,Juvenile Corrections,Adult,Other
# of Students Who,Programs,Programs,Facilities,,Facilities,Corrections,Programs
Enrolled in their local district,,,,,,,
school,,,"5,198",,35,,
Earned a GED,,,256,,119,,
Obtained high school,,,,,,,
diploma,,,20,,67,,
Were accepted into post-,,,,,,,
secondary education,,,25,,100,,
Enrolled in post-secondary,,,,,,,
education,,,25,,79,,
Comments:,,,,,,,
