Name: “Table 1 of 1 on page 16 of 79”,Name: “Table 1 of 1 on page 16 of 79”,Name: “Table 1 of 1 on page 16 of 79”,Name: “Table 1 of 1 on page 16 of 79”,Name: “Table 1 of 1 on page 16 of 79”
Table: 16,Table: 16,Table: 16,Table: 16,Table: 16
,,,,
OMB NO. 1810-0614,OMB NO. 1810-0614,,,Page 16
2.2.2 Federal Even Start Performance Indicators,2.2.2 Federal Even Start Performance Indicators,2.2.2 Federal Even Start Performance Indicators,2.2.2 Federal Even Start Performance Indicators,
This section collects data about the federal Even Start Performance Indicators,This section collects data about the federal Even Start Performance Indicators,This section collects data about the federal Even Start Performance Indicators,This section collects data about the federal Even Start Performance Indicators,
2.2.2.1 Adults Showing Significant Learning Gains on Measures of Reading,2.2.2.1 Adults Showing Significant Learning Gains on Measures of Reading,2.2.2.1 Adults Showing Significant Learning Gains on Measures of Reading,2.2.2.1 Adults Showing Significant Learning Gains on Measures of Reading,
"In the table below, provide the number of adults who showed significant learning gains on measures of reading. Only report data","In the table below, provide the number of adults who showed significant learning gains on measures of reading. Only report data","In the table below, provide the number of adults who showed significant learning gains on measures of reading. Only report data","In the table below, provide the number of adults who showed significant learning gains on measures of reading. Only report data","In the table below, provide the number of adults who showed significant learning gains on measures of reading. Only report data"
"from the TABE reading test on the TABE line. Likewise, only report data from the CASAS reading test on the CASAS line. Data","from the TABE reading test on the TABE line. Likewise, only report data from the CASAS reading test on the CASAS line. Data","from the TABE reading test on the TABE line. Likewise, only report data from the CASAS reading test on the CASAS line. Data","from the TABE reading test on the TABE line. Likewise, only report data from the CASAS reading test on the CASAS line. Data","from the TABE reading test on the TABE line. Likewise, only report data from the CASAS reading test on the CASAS line. Data"
"from the other TABE or CASAS tests or combination of both tests should be reported on the ""other"" line.","from the other TABE or CASAS tests or combination of both tests should be reported on the ""other"" line.","from the other TABE or CASAS tests or combination of both tests should be reported on the ""other"" line.","from the other TABE or CASAS tests or combination of both tests should be reported on the ""other"" line.","from the other TABE or CASAS tests or combination of both tests should be reported on the ""other"" line."
"To be counted under ""pre- and post-test"", an individual must have completed both the pre- and post-tests.","To be counted under ""pre- and post-test"", an individual must have completed both the pre- and post-tests.","To be counted under ""pre- and post-test"", an individual must have completed both the pre- and post-tests.","To be counted under ""pre- and post-test"", an individual must have completed both the pre- and post-tests.","To be counted under ""pre- and post-test"", an individual must have completed both the pre- and post-tests."
"The definition of ""significant learning gains"" for adult education is determined at the State level either by your State's adult","The definition of ""significant learning gains"" for adult education is determined at the State level either by your State's adult","The definition of ""significant learning gains"" for adult education is determined at the State level either by your State's adult","The definition of ""significant learning gains"" for adult education is determined at the State level either by your State's adult","The definition of ""significant learning gains"" for adult education is determined at the State level either by your State's adult"
"education program in conjunction with the U.S. Department of Education's Office of Vocational and Adult Education (OVAE), or","education program in conjunction with the U.S. Department of Education's Office of Vocational and Adult Education (OVAE), or","education program in conjunction with the U.S. Department of Education's Office of Vocational and Adult Education (OVAE), or","education program in conjunction with the U.S. Department of Education's Office of Vocational and Adult Education (OVAE), or","education program in conjunction with the U.S. Department of Education's Office of Vocational and Adult Education (OVAE), or"
as defined by your Even Start State Performance Indicators.,as defined by your Even Start State Performance Indicators.,as defined by your Even Start State Performance Indicators.,as defined by your Even Start State Performance Indicators.,
These instructions/definitions apply to both 2.2.2.1 and 2.2.2.2.,These instructions/definitions apply to both 2.2.2.1 and 2.2.2.2.,These instructions/definitions apply to both 2.2.2.1 and 2.2.2.2.,These instructions/definitions apply to both 2.2.2.1 and 2.2.2.2.,
Note: Do not include the Adult English Learners counted in 2.2.2.2.,Note: Do not include the Adult English Learners counted in 2.2.2.2.,Note: Do not include the Adult English Learners counted in 2.2.2.2.,Note: Do not include the Adult English Learners counted in 2.2.2.2.,
# Pre- and Post-,# Pre- and Post-,# Who Met,,
,Tested,,Goal,Explanation (if applicable)
,TABE,,Significant progress is defined as a gain of 27 points or more between pre and,Significant progress is defined as a gain of 27 points or more between pre and
,51,31,posttest.,
,CASAS,,Virginia does not use CASAS.,
,Other,,Results are for TABE Mathematics. Significant progress is defined as a gain of 27,Results are for TABE Mathematics. Significant progress is defined as a gain of 27
,49,24,points or more between pre and posttest.,
Comments:,,,,
2.2.2.2 Adult English Learners Showing Significant Learning Gains on Measures of Reading,2.2.2.2 Adult English Learners Showing Significant Learning Gains on Measures of Reading,2.2.2.2 Adult English Learners Showing Significant Learning Gains on Measures of Reading,2.2.2.2 Adult English Learners Showing Significant Learning Gains on Measures of Reading,
"In the table below, provide the number of Adult English Learners who showed significant learning gains on measures of reading.","In the table below, provide the number of Adult English Learners who showed significant learning gains on measures of reading.","In the table below, provide the number of Adult English Learners who showed significant learning gains on measures of reading.","In the table below, provide the number of Adult English Learners who showed significant learning gains on measures of reading.","In the table below, provide the number of Adult English Learners who showed significant learning gains on measures of reading."
,# Pre- and Post-,# Pre- and Post-,# Who Met,
,Tested,,Goal,Explanation (if applicable)
,TABE,,,Virginia does not use TABE for English language learners.
,CASAS,,,Virginia does not use CASAS.
,BEST,,,Virginia does not use BEST for English language learners.
BEST Plus,,,,Significant progress is defined as a gain of 20 points or more between pre
,72,,63,and posttest.
,BEST,,,
,Literacy,,,Virginia does not require the BEST Literacy section.
,Other,,,
Comments:,,,,
