Name: “Table 1 of 1 on page 67 of 79”,Name: “Table 1 of 1 on page 67 of 79”,Name: “Table 1 of 1 on page 67 of 79”,Name: “Table 1 of 1 on page 67 of 79”,Name: “Table 1 of 1 on page 67 of 79”,Name: “Table 1 of 1 on page 67 of 79”,Name: “Table 1 of 1 on page 67 of 79”,Name: “Table 1 of 1 on page 67 of 79”,Name: “Table 1 of 1 on page 67 of 79”,Name: “Table 1 of 1 on page 67 of 79”,Name: “Table 1 of 1 on page 67 of 79”,Name: “Table 1 of 1 on page 67 of 79”
Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67
,,,,,,,,,,,
OMB NO. 1810-0614,OMB NO. 1810-0614,OMB NO. 1810-0614,,,,,,,,,Page 66
2.7,SAFE AND D RUG,FREE S CHOOLS,AND C OMMUNITIES,"A CT (T ITLE IV, P ART A)","A CT (T ITLE IV, P ART A)","A CT (T ITLE IV, P ART A)",,,,,
"This section collects data on student behaviors under the Safe and Drug-Free Schools and Communities Act (TITLE IV,PART","This section collects data on student behaviors under the Safe and Drug-Free Schools and Communities Act (TITLE IV,PART","This section collects data on student behaviors under the Safe and Drug-Free Schools and Communities Act (TITLE IV,PART","This section collects data on student behaviors under the Safe and Drug-Free Schools and Communities Act (TITLE IV,PART","This section collects data on student behaviors under the Safe and Drug-Free Schools and Communities Act (TITLE IV,PART","This section collects data on student behaviors under the Safe and Drug-Free Schools and Communities Act (TITLE IV,PART","This section collects data on student behaviors under the Safe and Drug-Free Schools and Communities Act (TITLE IV,PART","This section collects data on student behaviors under the Safe and Drug-Free Schools and Communities Act (TITLE IV,PART","This section collects data on student behaviors under the Safe and Drug-Free Schools and Communities Act (TITLE IV,PART","This section collects data on student behaviors under the Safe and Drug-Free Schools and Communities Act (TITLE IV,PART","This section collects data on student behaviors under the Safe and Drug-Free Schools and Communities Act (TITLE IV,PART","This section collects data on student behaviors under the Safe and Drug-Free Schools and Communities Act (TITLE IV,PART"
A).,,,,,,,,,,,
2.7.1 Performance Measures,2.7.1 Performance Measures,2.7.1 Performance Measures,,,,,,,,,
"In the table below, provide actual performance data.","In the table below, provide actual performance data.","In the table below, provide actual performance data.","In the table below, provide actual performance data.",,,,,,,,
,,,,,Year of,,,,,,
,,,,Frequency,most,,,,,,Year
,,,Instrument/,of,recent,,,,Actual,,Baseline
,Performance Indicator,Performance Indicator,Data Source,Collection,collection,Targets,Targets,Performance,Performance,Baseline,Established
,,,,,,2008-,2008-,2008-,,,
,,,,,,09:,.001,09:,.00129%,,
,,,,,,2009-,2009-,2009-,,,
,,,,,,10:,.001,10:,.00096%,,
,,,,,,2010-,2010-,2010-,,,
,,,,,,11:,.001,11:,.00071%,,
,,,"Discipline,",,,2011-,2011-,,,,
1. The percentage of students who,1. The percentage of students who,1. The percentage of students who,"Crime,",,,12:,.001,,,,
carried a gun to school or school,carried a gun to school or school,carried a gun to school or school,and Violence,,2010-2011 2012-,2010-2011 2012-,2010-2011 2012-,,,,
event during a given school year.,event during a given school year.,event during a given school year.,Report,Annually,,13:,.001,,,.0441%,2002-2003
Comments:,Comments:,,,,,,,,,,
,,,,,Year of,,,,,,
,,,,Frequency,most,,,,,,Year
,,,Instrument/,of,recent,,,,Actual,,Baseline
,Performance Indicator,Performance Indicator,Data Source,Collection,collection,Targets,Targets,Performance,Performance,Baseline,Established
,,,,,,2008-,2008-,2008-,,,
,,,,,,09:,1.0,09:,1.26413%,,
,,,,,,2009-,2009-,2009-,,,
,,,,,,10:,1.0,10:,1.15328%,,
,,,,,,2010-,2010-,2010-,,,
,,,,,,11:,1.0,11:,1.04285%,,
,,,"Discipline,",,,2011-,2011-,,,,
2. The percentage of students who,2. The percentage of students who,2. The percentage of students who,"Crime,",,,12:,1.0,,,,
engaged in a physical fight on,engaged in a physical fight on,engaged in a physical fight on,and Violence,,2010-2011 2012-,2010-2011 2012-,2010-2011 2012-,,,2.45601%,
school property.,school property.,,Report,Annually,,13:,1.0,,,,2002-2003
Comments:,Comments:,,,,,,,,,,
,,,,,Year of,,,,,,
,,,,Frequency,most,,,,,,Year
,,,Instrument/,of,recent,,,,Actual,,Baseline
,Performance Indicator,Performance Indicator,Data Source,Collection,collection,Targets,Targets,Performance,Performance,Baseline,Established
,,,,,,2008-,2008-,2008-,,,
,,,,,,09:,.10,09:,.11334%,,
,,,,,,2009-,2009-,2009-,,,
,,,,,,10:,.10,10:,.09578%,,
,,,,,,2010-,2010-,2010-,,,
,,,,,,11:,.10,11:,.10698%,,
,,,"Discipline,",,,2011-,2011-,,,,
3. The percentage of students,3. The percentage of students,3. The percentage of students,"Crime,",,,12:,.10,,,,
"offered, sold, or given an illegal drug","offered, sold, or given an illegal drug","offered, sold, or given an illegal drug",and Violence,,2010-2011 2012-,2010-2011 2012-,2010-2011 2012-,,,,
on school property.,on school property.,,Report,Annually,,13:,.10,,,.24346%,2002-2003
Comments:,Comments:,,,,,,,,,,
