Name: “Table 1 of 1 on page 41 of 79”,Name: “Table 1 of 1 on page 41 of 79”,Name: “Table 1 of 1 on page 41 of 79”,Name: “Table 1 of 1 on page 41 of 79”,Name: “Table 1 of 1 on page 41 of 79”
Table: 41,Table: 41,Table: 41,Table: 41,Table: 41
,,,,
OMB NO. 1810-0614,OMB NO. 1810-0614,,,Page 40
2.3.3.2.4.2 Type of Instructional Service,2.3.3.2.4.2 Type of Instructional Service,2.3.3.2.4.2 Type of Instructional Service,,
"In the table below, provide the number of participating migrant children reported in the table above who received reading","In the table below, provide the number of participating migrant children reported in the table above who received reading","In the table below, provide the number of participating migrant children reported in the table above who received reading","In the table below, provide the number of participating migrant children reported in the table above who received reading","In the table below, provide the number of participating migrant children reported in the table above who received reading"
"instruction, mathematics instruction, or high school credit accrual during the summer/intersession term. Include children who","instruction, mathematics instruction, or high school credit accrual during the summer/intersession term. Include children who","instruction, mathematics instruction, or high school credit accrual during the summer/intersession term. Include children who","instruction, mathematics instruction, or high school credit accrual during the summer/intersession term. Include children who","instruction, mathematics instruction, or high school credit accrual during the summer/intersession term. Include children who"
received such instructional services provided by a teacher only. Children may be reported as having received more than one,received such instructional services provided by a teacher only. Children may be reported as having received more than one,received such instructional services provided by a teacher only. Children may be reported as having received more than one,received such instructional services provided by a teacher only. Children may be reported as having received more than one,received such instructional services provided by a teacher only. Children may be reported as having received more than one
"type of instructional service in the table. However, children should be reported only once within each type of instructional service","type of instructional service in the table. However, children should be reported only once within each type of instructional service","type of instructional service in the table. However, children should be reported only once within each type of instructional service","type of instructional service in the table. However, children should be reported only once within each type of instructional service","type of instructional service in the table. However, children should be reported only once within each type of instructional service"
that they received regardless of the frequency with which they received the instructional service. The totals are calculated,that they received regardless of the frequency with which they received the instructional service. The totals are calculated,that they received regardless of the frequency with which they received the instructional service. The totals are calculated,that they received regardless of the frequency with which they received the instructional service. The totals are calculated,that they received regardless of the frequency with which they received the instructional service. The totals are calculated
automatically.,automatically.,,,
Age/Grade,Age/Grade,Reading Instruction,Mathematics Instruction,High School Credit Accrual
Age birth through 2,Age birth through 2,,"n
    ",
Age 3 through 5 (not Kindergarten),Age 3 through 5 (not Kindergarten),"n
    ",15,
,K,22,19,
,1,13,13,
,2,11,10,
,3,14,12,
,4,15,15,
,5,11,"n
    ",
,6,"n
    ","n
    ",
,7,"n
    ","n
    ",
,8,"n
    ","n
    ",
,9,"n
    ","n
    ",
,10,"n
    ","n
    ","n
    "
,11,"n
    ","n
    ","n
    "
,12,"n
    ",,"n
    "
,Ungraded,,,
Out-of-school,Out-of-school,"n
    ","n
    ",
,Total,118,115,"n
    "
Comments:,The decrease in the total number of participating migrant children who have been classified as served under the,The decrease in the total number of participating migrant children who have been classified as served under the,The decrease in the total number of participating migrant children who have been classified as served under the,The decrease in the total number of participating migrant children who have been classified as served under the
continuation of services compared to the previous year can be attributed to an overall decrease in the total number of migrant,continuation of services compared to the previous year can be attributed to an overall decrease in the total number of migrant,continuation of services compared to the previous year can be attributed to an overall decrease in the total number of migrant,continuation of services compared to the previous year can be attributed to an overall decrease in the total number of migrant,continuation of services compared to the previous year can be attributed to an overall decrease in the total number of migrant
children during the 2010-2011 school year.,children during the 2010-2011 school year.,children during the 2010-2011 school year.,,
The migrant students particpating in high school credit accural served during the 2010-2011 school year was greater than the,The migrant students particpating in high school credit accural served during the 2010-2011 school year was greater than the,The migrant students particpating in high school credit accural served during the 2010-2011 school year was greater than the,The migrant students particpating in high school credit accural served during the 2010-2011 school year was greater than the,The migrant students particpating in high school credit accural served during the 2010-2011 school year was greater than the
number served in 2009-2010 due to increased technical assistance to school divisions in identification and classification of,number served in 2009-2010 due to increased technical assistance to school divisions in identification and classification of,number served in 2009-2010 due to increased technical assistance to school divisions in identification and classification of,number served in 2009-2010 due to increased technical assistance to school divisions in identification and classification of,number served in 2009-2010 due to increased technical assistance to school divisions in identification and classification of
credit bearing course work.,credit bearing course work.,,,
Virginia does not have any students classified as ungraded.,Virginia does not have any students classified as ungraded.,Virginia does not have any students classified as ungraded.,,
FAQ on Types of Instructional Services:,FAQ on Types of Instructional Services:,FAQ on Types of Instructional Services:,,
"What is ""high school credit accrual""? Instruction in courses that accrue credits needed for high school graduation provided by a","What is ""high school credit accrual""? Instruction in courses that accrue credits needed for high school graduation provided by a","What is ""high school credit accrual""? Instruction in courses that accrue credits needed for high school graduation provided by a","What is ""high school credit accrual""? Instruction in courses that accrue credits needed for high school graduation provided by a","What is ""high school credit accrual""? Instruction in courses that accrue credits needed for high school graduation provided by a"
"teacher for students on a regular or systematic basis, usually for a predetermined period of time. Includes correspondence","teacher for students on a regular or systematic basis, usually for a predetermined period of time. Includes correspondence","teacher for students on a regular or systematic basis, usually for a predetermined period of time. Includes correspondence","teacher for students on a regular or systematic basis, usually for a predetermined period of time. Includes correspondence","teacher for students on a regular or systematic basis, usually for a predetermined period of time. Includes correspondence"
courses taken by a student under the supervision of a teacher.,courses taken by a student under the supervision of a teacher.,courses taken by a student under the supervision of a teacher.,,
