Name: “Table 1 of 1 on page 72 of 79”,Name: “Table 1 of 1 on page 72 of 79”,Name: “Table 1 of 1 on page 72 of 79”,Name: “Table 1 of 1 on page 72 of 79”
Table: 72,Table: 72,Table: 72,Table: 72
,,,
OMB NO. 1810-0614,OMB NO. 1810-0614,,Page 70
2.7.2.4,Out-of-School Suspensions and Expulsions for Weapons Possession,Out-of-School Suspensions and Expulsions for Weapons Possession,
The following sections collect data on weapons possession.,The following sections collect data on weapons possession.,The following sections collect data on weapons possession.,
2.7.2.4.1 Out-of-School Suspensions for Weapons Possession,2.7.2.4.1 Out-of-School Suspensions for Weapons Possession,2.7.2.4.1 Out-of-School Suspensions for Weapons Possession,
"In the table below, provide the number of out-of-school suspensions for weapons possession by grade level. Also, provide the","In the table below, provide the number of out-of-school suspensions for weapons possession by grade level. Also, provide the","In the table below, provide the number of out-of-school suspensions for weapons possession by grade level. Also, provide the","In the table below, provide the number of out-of-school suspensions for weapons possession by grade level. Also, provide the"
"number of LEAs that reported data on weapons possession, including LEAs that report no incidents.","number of LEAs that reported data on weapons possession, including LEAs that report no incidents.","number of LEAs that reported data on weapons possession, including LEAs that report no incidents.",
,Grades,# Suspensions for Weapons Possession,# LEAs Reporting
K through 5,K through 5,598,132
6 through 8,6 through 8,773,132
9 through 12,9 through 12,807,131
Comments:,Only 131 of 132 school divisions reported for grades 9 through 12. Lexington City secondary students attend,Only 131 of 132 school divisions reported for grades 9 through 12. Lexington City secondary students attend,Only 131 of 132 school divisions reported for grades 9 through 12. Lexington City secondary students attend
Rockbridge County Public Schools.,Rockbridge County Public Schools.,Rockbridge County Public Schools.,
2.7.2.4.2 Out-of-School Expulsions for Weapons Possession,2.7.2.4.2 Out-of-School Expulsions for Weapons Possession,2.7.2.4.2 Out-of-School Expulsions for Weapons Possession,
"In the table below, provide the number of out-of-school expulsions for weapons possession by grade level. Also, provide the","In the table below, provide the number of out-of-school expulsions for weapons possession by grade level. Also, provide the","In the table below, provide the number of out-of-school expulsions for weapons possession by grade level. Also, provide the","In the table below, provide the number of out-of-school expulsions for weapons possession by grade level. Also, provide the"
"number of LEAs that reported data on weapons possession, including LEAs that report no incidents.","number of LEAs that reported data on weapons possession, including LEAs that report no incidents.","number of LEAs that reported data on weapons possession, including LEAs that report no incidents.",
,Grades,# Expulsion for Weapons Possession,# LEAs Reporting
K through 5,K through 5,"n
    ",132
6 through 8,6 through 8,35,132
9 through 12,9 through 12,78,131
Comments:,Only 131 of 132 school divisions reported for grades 9 through 12. Lexington City secondary students attend,Only 131 of 132 school divisions reported for grades 9 through 12. Lexington City secondary students attend,Only 131 of 132 school divisions reported for grades 9 through 12. Lexington City secondary students attend
Rockbridge County Public Schools.,Rockbridge County Public Schools.,Rockbridge County Public Schools.,
